# 青简基础词库，由 qingjian-dict-convert lexicon 生成。词	音节	词频
# 来源：通用规范汉字表（8105 字）；现代汉语常用词表（liuxilu 校对版）；THUOCL 领域词（MIT，清华大学自然语言处理实验室）；
# 读音：Unihan（Unicode License）+ LLM 标注多音字词；词频：青简自己的语料统计（中文维基 CC BY-SA 4.0、LCCC MIT）。
三更半夜	san geng ban ye	324
三月	san yue	6269
三月三	san yue san	269
三期	san qi	905
三桥	san qiao	194
三棱	san leng	102
三棱镜	san leng jing	7
三次	san ci	6220
三毛	san mao	824
三民	san min	648
三民主义	san min zhu yi	318
三氟	san fu	284
三氯	san lv	141
三氯化	san lv hua	208
三河市	san he shi	68
三浦	san pu	616
三清山	san qing shan	88
三灾八难	san zai ba nan	1
三点	san dian	5092
三点式	san dian shi	86
三点水	san dian shui	29
三环路	san huan lu	182
三班	san ban	414
三班倒	san ban dao	39
三生有幸	san sheng you xing	210
三甲	san jia	8497
三番两次	san fan liang ci	22
三番五次	san fan wu ci	42
三百	san bai	3021
三百六十行	san bai liu shi hang	12
三百户	san bai hu	164
三皇五帝	san huang wu di	16
三相	san xiang	260
三福	san fu	121
三秋	san qiu	53
三秒	san miao	699
三秒钟	san miao zhong	214
三立	san li	1048
三级	san ji	2439
三级跳远	san ji tiao yuan	87
三线	san xian	891
三维	san wei	750
三维空间	san wei kong jian	143
三缄其口	san jian qi kou	8
三联	san lian	435
三联单	san lian dan	3
三胞	san bao	2
三胞胎	san bao tai	274
三脚架	san jiao jia	530
三船敏郎	san chuan min lang	53
三艘	san sou	491
三节	san jie	304
三花脸	san hua lian	6
三菱	san ling	1070
三萜	san tie	57
三藏	san zang	881
三藏朝	san zang chao	241
三藩市	san fan shi	177
三观	san guan	5611
三观正	san guan zheng	583
三角	san jiao	4053
三角债	san jiao zhai	43
三角函数	san jiao han shu	93
三角形	san jiao xing	1631
三角恋爱	san jiao lian ai	9
三角板	san jiao ban	4
三角洲	san jiao zhou	786
三角裤	san jiao ku	9
三角铁	san jiao tie	35
三言两语	san yan liang yu	121
三资企业	san zi qi ye	4
三足鼎立	san zu ding li	17
三轮	san lun	329
三轮儿	san lun er	42
三轮车	san lun che	69
三辑	san ji	129
三通	san tong	145
三遍	san bian	1718
三郎	san lang	1272
三部曲	san bu qu	1352
三里屯	san li tun	602
三里河	san li he	76
三重唱	san chong chang	51
三重奏	san chong zou	190
三长两短	san chang liang duan	15
三门峡市	san men xia shi	180
三队	san dui	173
三阳	san yang	95
三院	san yuan	507
三陪	san pei	33
三青团	san qing tuan	62
三项	san xiang	903
三顾茅庐	san gu mao lu	30
三餐	san can	1280
三鲜	san xian	249
上	shang	533168
上上	shang shang	16
上下	shang xia	4131
上下其手	shang xia qi shou	58
上下文	shang xia wen	378
上下水	shang xia shui	7
上下级	shang xia ji	29
上不去	shang bu qu	1179
上世	shang shi	14
上个	shang ge	3495
上中农	shang zhong nong	1
上乘	shang cheng	93
上书	shang shu	1057
上了	shang le	27680
上交	shang jiao	927
上交所	shang jiao suo	57
上代	shang dai	13
上任	shang ren	1810
上传	shang chuan	2668
上传照片	shang chuan zhao pian	62
上供	shang gong	58
上元节	shang yuan jie	23
上光	shang guang	24
上冲	shang chong	66
上冻	shang dong	49
上刑	shang xing	11
上劲	shang jin	60
上千	shang qian	749
上升	shang sheng	4982
上午	shang wu	18244
上午好	shang wu hao	2332
上半夜	shang ban ye	37
上半天	shang ban tian	120
上半年	shang ban nian	997
上半时	shang ban shi	7
上半月	shang ban yue	22
上厕所	shang ce suo	3666
上去	shang qu	25469
上口	shang kou	117
上古	shang gu	478
上台	shang tai	1918
上司	shang si	1133
上吊	shang diao	233
上吐下泻	shang tu xia xie	2
上告	shang gao	60
上周	shang zhou	2644
上呼吸道	shang hu xi dao	79
上品	shang pin	105
上唇	shang chun	40
上啊	shang a	2601
上回	shang hui	880
上场	shang chang	2364
上坂	shang ban	70
上坟	shang fen	322
上坡	shang po	299
上坡路	shang po lu	102
上城	shang cheng	151
上堡	shang bao	147
上塘	shang tang	86
上士	shang shi	300
上大学	shang da xue	3374
上天	shang tian	6962
上天入地	shang tian ru di	83
上头	shang tou	598
上奏	shang zou	885
上套	shang tao	101
上好	shang hao	57
上学	shang xue	13021
上家	shang jia	14
上宾	shang bin	38
上寿	shang shou	34
上将	shang jiang	3047
上尉	shang wei	1065
上就	shang jiu	2634
上层	shang ceng	1271
上层建筑	shang ceng jian zhu	199
上屏	shang ping	20
上山	shang shan	1585
上岁数	shang sui shu	194
上岗	shang gang	417
上岸	shang an	1466
上峰	shang feng	44
上工	shang gong	45
上市	shang shi	4090
上市公司	shang shi gong si	1176
上帝	shang di	5438
上年	shang nian	96
上年纪	shang nian ji	231
上庄	shang zhuang	77
上座	shang zuo	338
上座儿	shang zuo er	18
上座率	shang zuo lv	191
上建	shang jian	175
上弦	shang xian	81
上当	shang dang	1200
上心	shang xin	608
上思	shang si	107
上情	shang qing	5
上感	shang gan	3
上房	shang fang	173
上手	shang shou	887
上扬	shang yang	341
上报	shang bao	678
上推	shang tui	66
上操	shang cao	3
上文	shang wen	206
上新	shang xin	1990
上方	shang fang	3303
上旬	shang xun	853
上星	shang xing	297
上映	shang ying	13712
上智	shang zhi	121
上曾	shang zeng	464
上有	shang you	8168
上机	shang ji	245
上杉	shang shan	697
上杉谦信	shang shan qian xin	67
上村	shang cun	321
上来	shang lai	10115
上杭	shang hang	186
上架	shang jia	2069
上标	shang biao	84
上校	shang xiao	2486
上档次	shang dang ci	803
上桥	shang qiao	64
上梁	shang liang	150
上榜	shang bang	1178
上次	shang ci	23739
上次去	shang ci qu	2123
上款	shang kuan	20
上水	shang shui	909
上汽	shang qi	86
上油	shang you	68
上法	shang fa	6035
上流	shang liu	503
上浮	shang fu	87
上海	shang hai	59943
上海了	shang hai le	2164
上海动物园	shang hai dong wu yuan	53
上海南站	shang hai nan zhan	100
上海图书馆	shang hai tu shu guan	74
上海大学	shang hai da xue	204
上海市	shang hai shi	7514
上海电视台	shang hai dian shi tai	73
上海的	shang hai de	3094
上海证券交易所	shang hai zheng quan jiao yi suo	246
上海财经大学	shang hai cai jing da xue	92
上海路	shang hai lu	70
上涨	shang zhang	673
上游	shang you	2015
上溯	shang su	83
上演	shang yan	1499
上火	shang huo	4946
上班	shang ban	77191
上班了	shang ban le	10152
上班呢	shang ban ne	2289
上班啊	shang ban a	4041
上班族	shang ban zu	895
上班的	shang ban de	5268
上疏	shang shu	790
上瘾	shang yin	3385
上的	shang de	49399
上皮	shang pi	148
上皮细胞	shang pi xi bao	120
上相	shang xiang	308
上眼药	shang yan yao	3
上研	shang yan	259
上税	shang shui	29
上空	shang kong	1012
上窜下跳	shang cuan xia tiao	35
上端	shang duan	155
上等	shang deng	67
上策	shang ce	60
上算	shang suan	34
上篮	shang lan	175
上粪	shang fen	8
上紧	shang jin	64
上级	shang ji	1476
上纲	shang gang	19
上纲上线	shang gang shang xian	222
上线	shang xian	6090
上缴	shang jiao	245
上网	shang wang	5807
上联	shang lian	89
上肢	shang zhi	206
上肥	shang fei	7
上脸	shang lian	447
上膘	shang biao	7
上膛	shang tang	157
上臂	shang bi	133
上色	shang se	779
上色	shang shai	97
上苍	shang cang	128
上药	shang yao	137
上菜	shang cai	374
上蔡	shang cai	106
上虞	shang yu	298
上虞县	shang yu xian	119
上蜡	shang la	12
上行	shang xing	1990
上行下效	shang xing xia xiao	26
上街	shang jie	1118
上衣	shang yi	1900
上表	shang biao	553
上装	shang zhuang	208
上角	shang jiao	1848
上议院	shang yi yuan	680
上访	shang fang	134
上诉	shang su	3499
上诉得直	shang su de zhi	73
上课	shang ke	26195
上课了	shang ke le	2613
上调	shang diao	28
上调	shang tiao	226
上账	shang zhang	1
上货	shang huo	69
上贼船	shang zei chuan	26
上路	shang lu	1710
上蹿下跳	shang cuan xia tiao	95
上身	shang shen	1130
上车	shang che	7151
上轨道	shang gui dao	38
上载	shang zai	536
上辈	shang bei	67
上辈子	shang bei zi	1076
上边	shang bian	631
上达	shang da	57
上过	shang guo	2485
上进	shang jin	827
上进心	shang jin xin	444
上述	shang shu	4860
上郡	shang jun	255
上部	shang bu	789
上都	shang du	2747
上钩	shang gou	261
上铺	shang pu	842
上锁	shang suo	270
上镜	shang jing	1506
上门	shang men	2322
上阵	shang zhen	2114
上限	shang xian	1535
上集	shang ji	158
上面	shang mian	13026
上颌	shang he	143
上颌骨	shang he gu	192
上颚	shang e	97
上风	shang feng	192
上饶	shang rao	465
上饶市	shang rao shi	204
上首	shang shou	211
上香	shang xiang	267
上马	shang ma	254
上高	shang gao	513
上黄	shang huang	88
下	xia	282049
下一个	xia yi ge	5406
下一代	xia yi dai	1179
下一步	xia yi bu	1176
下三滥	xia san lan	4
下三烂	xia san lan	1
下不为例	xia bu wei li	147
下不了台	xia bu liao tai	14
下不来	xia bu lai	350
下世	xia shi	15
下丘脑	xia qiu nao	51
下个	xia ge	5437
下个月	xia ge yue	7247
下中农	xia zhong nong	2
下乘	xia cheng	11
下九流	xia jiu liu	12
下乡	xia xiang	1053
下书	xia shu	47
下了	xia le	14192
下人	xia ren	69
下令	xia ling	3968
下任	xia ren	298
下作	xia zuo	24
下决心	xia jue xin	417
下凡	xia fan	1258
下划线	xia hua xian	90
下列	xia lie	2779
下力	xia li	26
下劲	xia jin	9
下午	xia wu	65300
下午去	xia wu qu	2146
下午好	xia wu hao	7233
下半场	xia ban chang	748
下半夜	xia ban ye	129
下半天	xia ban tian	35
下半年	xia ban nian	2112
下半截	xia ban jie	36
下半旗	xia ban qi	65
下半时	xia ban shi	14
下半月	xia ban yue	45
下单	xia dan	89
下卷	xia juan	146
下厨	xia chu	935
下去	xia qu	35602
下去了	xia qu le	6853
下去的	xia qu de	2661
下发	xia fa	522
下台	xia tai	1053
下台阶	xia tai jie	26
下同	xia tong	63
下周	xia zhou	14537
下咽	xia yan	246
下咽	xia ye	30
下品	xia pin	63
下唇	xia chun	82
下回	xia hui	4108
下围	xia wei	63
下地	xia di	71
下场	xia chang	1501
下场门	xia chang men	7
下坠	xia zhui	134
下坡	xia po	324
下坡路	xia po lu	50
下垂	xia chui	600
下城	xia cheng	233
下堡	xia bao	176
下塌	xia ta	10
下士	xia shi	255
下处	xia chu	9
下大力气	xia da li qi	1
下头	xia tou	131
下奶	xia nai	68
下嫁	xia jia	268
下存	xia cun	3
下学	xia xue	39
下学期	xia xue qi	3200
下完	xia wan	537
下定	xia ding	962
下家	xia jia	29
下就	xia jiu	3251
下层	xia ceng	848
下属	xia shu	7192
下山	xia shan	1552
下岗	xia gang	404
下川	xia chuan	64
下工	xia gong	8
下工夫	xia gong fu	11
下巴	xia ba	7064
下巴颏儿	xia ba ke er	1
下市	xia shi	10
下床	xia chuang	736
下弦	xia xian	48
下忍	xia ren	51
下怀	xia huai	32
下情	xia qing	11
下意识	xia yi shi	48
下房	xia fang	39
下手	xia shou	2759
下拨	xia bo	31
下挫	xia cuo	28
下摆	xia bai	126
下操	xia cao	18
下放	xia fang	989
下文	xia wen	655
下方	xia fang	3156
下旬	xia xun	2175
下星期	xia xing qi	1913
下月	xia yue	703
下本儿	xia ben er	28
下村	xia cun	193
下来	xia lai	42853
下来了	xia lai le	5876
下来的	xia lai de	4987
下架	xia jia	2370
下桥	xia qiao	85
下棋	xia qi	268
下楼	xia lou	2099
下榻	xia ta	161
下欠	xia qian	2
下次	xia ci	79864
下次一起	xia ci yi qi	2361
下次你	xia ci ni	2520
下次去	xia ci qu	4207
下次带	xia ci dai	2430
下次我	xia ci wo	4599
下次来	xia ci lai	3335
下款	xia kuan	29
下毒	xia du	157
下毒手	xia du shou	12
下毛毛雨	xia mao mao yu	41
下水	xia shui	2652
下水道	xia shui dao	770
下江	xia jiang	26
下沉	xia chen	455
下沙	xia sha	598
下河	xia he	130
下泄	xia xie	62
下注	xia zhu	64
下泻	xia xie	4
下流	xia liu	175
下浮	xia fu	7
下海	xia hai	832
下渗	xia shen	3
下游	xia you	1700
下滑	xia hua	627
下潜	xia qian	112
下狠心	xia hen xin	59
下狱	xia yu	348
下班	xia ban	18452
下班了	xia ban le	3038
下生	xia sheng	38
下田	xia tian	119
下町	xia ding	216
下界	xia jie	111
下的	xia de	14949
下眼皮	xia yan pi	64
下礼拜	xia li bai	805
下种	xia zhong	44
下端	xia duan	128
下笔	xia bi	144
下等	xia deng	33
下策	xia ce	69
下箸	xia zhu	3
下级	xia ji	382
下级法院	xia ji fa yuan	56
下联	xia lian	181
下聘	xia pin	6
下肚	xia du	265
下肢	xia zhi	227
下脚	xia jiao	87
下脚料	xia jiao liao	12
下腰	xia yao	117
下船	xia chuan	325
下药	xia yao	284
下营	xia ying	127
下落	xia luo	531
下落不明	xia luo bu ming	432
下葬	xia zang	265
下蛋	xia dan	230
下行	xia xing	2582
下装	xia zhuang	66
下角	xia jiao	774
下议院	xia yi yuan	2121
下设	xia she	1295
下诏	xia zhao	839
下课	xia ke	3702
下调	xia tiao	186
下账	xia zhang	5
下贱	xia jian	4
下跌	xia die	700
下跪	xia gui	369
下身	xia shen	46
下车	xia che	6857
下车伊始	xia che yi shi	2
下载	xia zai	10445
下载地址	xia zai di zhi	64
下载安装	xia zai an zhuang	50
下辈	xia bei	36
下辈子	xia bei zi	2199
下辖	xia xia	8407
下边	xia bian	517
下达	xia da	953
下述	xia shu	235
下邳	xia pi	101
下部	xia bu	813
下酒	xia jiu	173
下酒菜	xia jiu cai	161
下里巴人	xia li ba ren	58
下野	xia ye	364
下铺	xia pu	544
下锅	xia guo	349
下问	xia wen	40
下降	xia jiang	5673
下限	xia xian	1003
下院	xia yuan	218
下陷	xia xian	71
下集	xia ji	542
下雨	xia yu	35396
下雨了	xia yu le	7926
下雨天	xia yu tian	3086
下雪	xia xue	19443
下雪了	xia xue le	7052
下面	xia mian	11545
下颌	xia he	316
下颌骨	xia he gu	80
下颚	xia e	238
下风	xia feng	162
下饭	xia fan	1126
下馆子	xia guan zi	196
下首	xia shou	17
下马	xia ma	79
下马威	xia ma wei	32
不	bu	3368674
不一	bu yi	78
不一定	bu yi ding	13248
不一样	bu yi yang	30942
不一样了	bu yi yang le	722
不一样的	bu yi yang de	5089
不一而足	bu yi er zu	26
不一致	bu yi zhi	446
不三不四	bu san bu si	46
不上	bu shang	15441
不上不下	bu shang bu xia	67
不上班	bu shang ban	5103
不下	bu xia	12314
不下于	bu xia yu	45
不下去	bu xia qu	8421
不下去了	bu xia qu le	1621
不下来	bu xia lai	6224
不丹	bu dan	724
不为已甚	bu wei yi shen	12
不久	bu jiu	13833
不义之财	bu yi zhi cai	39
不乏	bu fa	377
不乏其人	bu fa qi ren	1
不乏其例	bu fa qi li	2
不也是	bu ye shi	2080
不买	bu mai	6760
不了	bu le	71674
不了了	bu le le	103
不了了之	bu liao liao zhi	396
不了你	bu le ni	853
不了我	bu le wo	1098
不了的	bu le de	291
不了解	bu liao jie	3924
不争	bu zheng	429
不二价	bu er jia	9
不二法门	bu er fa men	4
不亚于	bu ya yu	165
不亦乐乎	bu yi le hu	199
不仁	bu ren	69
不仅	bu jin	8428
不仅仅	bu jin jin	1412
不介意	bu jie yi	3625
不代表	bu dai biao	3140
不以为意	bu yi wei yi	56
不以为然	bu yi wei ran	200
不以为耻	bu yi wei chi	80
不休	bu xiu	560
不会	bu hui	200590
不会去	bu hui qu	2143
不会吧	bu hui ba	1374
不会告诉	bu hui gao su	952
不会啊	bu hui a	1071
不会是	bu hui shi	2690
不会有	bu hui you	9352
不会的	bu hui de	6037
不会让	bu hui rang	1844
不会说	bu hui shuo	1963
不伦不类	bu lun bu lei	89
不但	bu dan	99
不住	bu zhu	21539
不住了	bu zhu le	2134
不作为	bu zuo wei	68
不作声	bu zuo sheng	16
不依	bu yi	68
不依不饶	bu yi bu rao	95
不便	bu bian	1757
不便宜	bu pian yi	1048
不俗	bu su	527
不信	bu xin	17579
不信你	bu xin ni	1114
不信邪	bu xin xie	63
不修边幅	bu xiu bian fu	135
不倒翁	bu dao weng	113
不值一提	bu zhi yi ti	159
不值得	bu zhi de	3035
不假思索	bu jia si suo	48
不偏不倚	bu pian bu yi	65
不做	bu zuo	5612
不停	bu ting	5355
不像	bu xiang	12908
不像话	bu xiang hua	688
不允许	bu yun xu	3214
不光	bu guang	1466
不免	bu mian	192
不公	bu gong	541
不公平	bu gong ping	2585
不共戴天	bu gong dai tian	185
不关	bu guan	1540
不关注	bu guan zhu	2248
不兴	bu xing	66
不兼容	bu jian rong	193
不再	bu zai	14519
不冷	bu leng	8647
不冷不热	bu leng bu re	324
不冻港	bu dong gang	6
不准	bu zhun	6506
不凡	bu fan	261
不出	bu chu	14044
不出去	bu chu qu	4083
不出所料	bu chu suo liao	46
不出来	bu chu lai	17207
不出门	bu chu men	2115
不分	bu fen	3175
不分手	bu fen shou	2053
不分青红皂白	bu fen qing hong zao bai	74
不切实际	bu qie shi ji	357
不利	bu li	95
不到	bu dao	91092
不到了	bu dao le	9179
不到你	bu dao ni	2670
不到啊	bu dao a	560
不到我	bu dao wo	2393
不到的	bu dao de	2428
不力	bu li	87
不加	bu jia	2215
不务正业	bu wu zheng ye	357
不动	bu dong	11237
不动了	bu dong le	1489
不动产	bu dong chan	449
不动声色	bu dong sheng se	142
不劳而获	bu lao er huo	165
不卑不亢	bu bei bu kang	111
不单	bu dan	77
不即不离	bu ji bu li	6
不厌	bu yan	777
不厌其烦	bu yan qi fan	75
不去	bu qu	33894
不去了	bu qu le	2400
不及	bu ji	93
不发	bu fa	4505
不变	bu bian	4495
不只	bu zhi	68
不叫	bu jiao	7884
不叫我	bu jiao wo	1005
不可	bu ke	12662
不可一世	bu ke yi shi	82
不可以	bu ke yi	11926
不可同日而语	bu ke tong ri er yu	10
不可名状	bu ke ming zhuang	34
不可告人	bu ke gao ren	210
不可多得	bu ke duo de	87
不可开交	bu ke kai jiao	112
不可思议	bu ke si yi	1464
不可或缺	bu ke huo que	384
不可抗力	bu ke kang li	56
不可抗拒	bu ke kang ju	69
不可收拾	bu ke shou shi	516
不可救药	bu ke jiu yao	32
不可爱	bu ke ai	2133
不可理喻	bu ke li yu	230
不可知论	bu ke zhi lun	81
不可磨灭	bu ke mo mie	70
不可终日	bu ke zhong ri	1
不可胜数	bu ke sheng shu	12
不可能	bu ke neng	18963
不可能的	bu ke neng de	558
不可言传	bu ke yan chuan	89
不可逾越	bu ke yu yue	29
不吃	bu chi	24737
不吃了	bu chi le	2243
不吃饭	bu chi fan	3094
不合	bu he	2940
不合时宜	bu he shi yi	160
不合理	bu he li	967
不合适	bu he shi	4092
不同	bu tong	53578
不同凡响	bu tong fan xiang	86
不同版本	bu tong ban ben	248
不同的	bu tong de	16115
不名一文	bu ming yi wen	1
不吝	bu lin	43
不听	bu ting	6730
不告诉	bu gao su	6441
不告诉你	bu gao su ni	2194
不周	bu zhou	56
不和	bu he	44
不咎既往	bu jiu ji wang	1
不哭	bu ku	5563
不哼不哈	bu heng bu ha	4
不啊	bu a	2432
不啻	bu chi	24
不善	bu shan	627
不喜欢	bu xi huan	46090
不喜欢你	bu xi huan ni	4941
不喜欢吃	bu xi huan chi	1356
不喜欢我	bu xi huan wo	1736
不喜欢的	bu xi huan de	4758
不喝	bu he	3770
不回	bu hui	9549
不回去	bu hui qu	3169
不回家	bu hui jia	4319
不回来	bu hui lai	7219
不回来了	bu hui lai le	1361
不困	bu kun	2218
不在	bu zai	31244
不在乎	bu zai hu	2819
不在家	bu zai jia	2350
不在话下	bu zai hua xia	150
不堪	bu kan	1203
不堪一击	bu kan yi ji	143
不堪入目	bu kan ru mu	194
不堪回首	bu kan hui shou	573
不堪设想	bu kan she xiang	70
不声不响	bu sheng bu xiang	100
不备	bu bei	62
不复	bu fu	733
不外	bu wai	69
不外乎	bu wai hu	35
不多	bu duo	15293
不够	bu gou	31013
不够用	bu gou yong	1773
不大	bu da	11203
不大离	bu da li	5
不太好	bu tai hao	1175
不失为	bu shi wei	108
不好	bu hao	91985
不好了	bu hao le	5161
不好吃	bu hao chi	8502
不好吗	bu hao ma	1993
不好啊	bu hao a	2580
不好好	bu hao hao	2601
不好惹	bu hao re	99
不好意思	bu hao yi si	24750
不好玩	bu hao wan	1093
不好的	bu hao de	8595
不好看	bu hao kan	11865
不如	bu ru	24142
不如相忘于江湖	bu ru xiang wang yu jiang hu	65
不妙	bu miao	159
不妥	bu tuo	680
不妨	bu fang	398
不嫌弃	bu xian qi	2168
不孕症	bu yun zheng	58
不存在	bu cun zai	8613
不存在的	bu cun zai de	1799
不孚众望	bu fu zhong wang	2
不孝	bu xiao	334
不学无术	bu xue wu shu	93
不安	bu an	2175
不完	bu wan	6724
不定	bu ding	1622
不定期	bu ding qi	648
不宜	bu yi	1058
不实	bu shi	669
不客气	bu ke qi	12222
不宣而战	bu xuan er zhan	19
不容	bu rong	681
不容分说	bu rong fen shuo	1
不容易	bu rong yi	17718
不容易啊	bu rong yi a	1308
不容置喙	bu rong zhi hui	3
不容置疑	bu rong zhi yi	66
不寒而栗	bu han er li	132
不对	bu dui	19562
不对劲儿	bu dui jin er	26
不对味儿	bu dui wei er	5
不对头	bu dui tou	71
不小	bu xiao	3551
不小心	bu xiao xin	7846
不少	bu shao	18273
不就	bu jiu	10345
不就是	bu jiu shi	7879
不尴不尬	bu gan bu ga	8
不尽然	bu jin ran	51
不屈	bu qu	291
不屈不挠	bu qu bu nao	58
不屑	bu xie	844
不屑一顾	bu xie yi gu	166
不屑于	bu xie yu	196
不巧	bu qiao	776
不差	bu cha	2493
不已	bu yi	91
不帅	bu shuai	3070
不带	bu dai	14537
不带我	bu dai wo	1902
不带走一片云彩	bu dai zou yi pian yun cai	112
不干	bu gan	2660
不干胶	bu gan jiao	1
不平	bu ping	88
不平则鸣	bu ping ze ming	4
不幸	bu xing	3201
不应该	bu ying gai	8966
不开	bu kai	10526
不开心	bu kai xin	20820
