# 青简领域词库：法律，由 qingjian-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
事业单位法人	shi ye dan wei fa ren	10
事业单位法人证书	shi ye dan wei fa ren zheng shu	11
事业单位登记管理制度	shi ye dan wei deng ji guan li zhi du	6
事业单位聘用制	shi ye dan wei pin yong zhi	10
事业单位财务管理制度	shi ye dan wei cai wu guan li zhi du	6
事件驱动型策略	shi jian qu dong xing ce lve	4
事务性工作	shi wu xing gong zuo	10
事后不可罚行为	shi hou bu ke fa xing wei	4
事后不能	shi hou bu neng	9
事急从权	shi ji cong quan	11
事故发生制	shi gu fa sheng zhi	3
事故责任比例	shi gu ze ren bi li	10
事断于法	shi duan yu fa	6
二十种随烦恼	er shi zhong sui fan nao	1
二审判决书	er shen pan jue shu	3
二审法院	er shen fa yuan	40
二审法院经审理认为	er shen fa yuan jing shen li ren wei	8
二审裁定书	er shen cai ding shu	8
二手房买卖操作实务	er shou fang mai mai cao zuo shi wu	3
二种邪见	er zhong xie jian	5
二空观	er kong guan	4
二级谋杀罪	er ji mou sha zui	13
云南省人才市场条例	yun nan sheng ren cai shi chang tiao li	4
云南省拥军优属规定	yun nan sheng yong jun you shu gui ding	3
云南省杞麓湖管理条例	yun nan sheng qi lu hu guan li tiao li	2
云南省残疾人优待规定	yun nan sheng can ji ren you dai gui ding	4
云南省物业管理规定	yun nan sheng wu ye guan li gui ding	3
云南省私营企业条例	yun nan sheng si ying qi ye tiao li	2
云南省药品管理条例	yun nan sheng yao pin guan li tiao li	3
云南省见义勇为基金会	yun nan sheng jian yi yong wei ji jin hui	4
云法律	yun fa lv	5
互免签证协议	hu mian qian zheng xie yi	5
互相印证	hu xiang yin zheng	2
互联网控制信息协议	hu lian wang kong zhi xin xi xie yi	3
互联网站管理工作细则	hu lian wang zhan guan li gong zuo xi ze	6
五不租	wu bu zu	10
五城察院	wu cheng cha yuan	4
五大连池市国家税务局	wu da lian chi shi guo jia shui wu ju	2
五定	wu ding	13
五朝会典	wu chao hui dian	6
五福牌	wu fu pai	4
五级三节制	wu ji san jie zhi	7
五荒地	wu huang di	7
五险一金小全书	wu xian yi jin xiao quan shu	3
亚太空间合作组织公约	ya tai kong jian he zuo zu zhi gong yue	7
亚太贸易协定	ya tai mao yi xie ding	10
亚硝酸盐中毒	ya xiao suan yan zhong du	11
亚非法律协商委员会	ya fei fa lv xie shang wei yuan hui	3
交叉互换	jiao cha hu huan	5
交叉补贴	jiao cha bu tie	1
交强险赔偿范围	jiao qiang xian pei chang fan wei	6
交战团体	jiao zhan tuan ti	4
交投活跃	jiao tou huo yue	14
交投清淡	jiao tou qing dan	14
交换配偶	jiao huan pei ou	1
交易安全与中国民商法	jiao yi an quan yu zhong guo min shang fa	3
交通事故伤残鉴定	jiao tong shi gu shang can jian ding	10
交通事故处理	jiao tong shi gu chu li	3
交通事故处理程序规定	jiao tong shi gu chu li cheng xu gui ding	10
交通事故损害赔偿	jiao tong shi gu sun hai pei chang	13
交通事故死亡赔偿金	jiao tong shi gu si wang pei chang jin	7
交通事故认定书	jiao tong shi gu ren ding shu	13
交通事故责任强制保险	jiao tong shi gu ze ren qiang zhi bao xian	15
交通事故赔偿项目	jiao tong shi gu pei chang xiang mu	4
交通幽默	jiao tong you mo	4
交通拥堵费	jiao tong yong du fei	12
交通法规制定程序规定	jiao tong fa gui zhi ding cheng xu gui ding	5
交通行政执法实务	jiao tong xing zheng zhi fa shi wu	3
交通行政执法规范	jiao tong xing zheng zhi fa gui fan	4
交通违章违法行为	jiao tong wei zhang wei fa xing wei	6
交通部汽车运价规则	jiao tong bu qi che yun jia gui ze	2
交钥匙合同	jiao yao shi he tong	7
交钥匙工程合同条件	jiao yao shi gong cheng he tong tiao jian	7
交钥匙工程承包合同	jiao yao shi gong cheng cheng bao he tong	2
交错要约	jiao cuo yao yue	2
产业结构调整政策	chan ye jie gou tiao zheng zheng ce	10
产业结构调节法	chan ye jie gou tiao jie fa	5
产供销一体化	chan gong xiao yi ti hua	1
产前诊断技术管理办法	chan qian zhen duan ji shu guan li ban fa	7
产品企业标准备案	chan pin qi ye biao zhun bei an	2
产品侵权行为	chan pin qin quan xing wei	5
产品侵权责任	chan pin qin quan ze ren	8
产品创新法则	chan pin chuang xin fa ze	5
产品及周期优化法	chan pin ji zhou qi you hua fa	5
产品局部欺诈	chan pin ju bu qi zha	6
产品开发建议书	chan pin kai fa jian yi shu	7
产品标识	chan pin biao zhi	2
产品瑕疵	chan pin xia ci	3
产品瑕疵责任	chan pin xia ci ze ren	5
产品税	chan pin shui	3
产品缺陷	chan pin que xian	10
产品缺陷责任	chan pin que xian ze ren	7
产品设计图	chan pin she ji tu	11
产品责任保险	chan pin ze ren bao xian	11
产品责任保险合同	chan pin ze ren bao xian he tong	4
产品责任保险条款	chan pin ze ren bao xian tiao kuan	3
产品责任法	chan pin ze ren fa	1
产品责任法律适用公约	chan pin ze ren fa lv shi yong gong yue	6
产品质量标准	chan pin zhi liang biao zhun	14
产品质量监督	chan pin zhi liang jian du	9
产品质量监督检查制度	chan pin zhi liang jian du jian cha zhi du	7
产品质量监督管理	chan pin zhi liang jian du guan li	12
产品质量监督试行办法	chan pin zhi liang jian du shi xing ban fa	4
产品销售权	chan pin xiao shou quan	9
产品防伪监督管理办法	chan pin fang wei jian du guan li ban fa	5
产地标记权	chan di biao ji quan	5
产权交易信息发布	chan quan jiao yi xin xi fa bu	5
产权分割	chan quan fen ge	1
产权制度	chan quan zhi du	3
产权制度改革	chan quan zhi du gai ge	2
产权变更	chan quan bian geng	13
产权或有变动事项	chan quan huo you bian dong shi xiang	4
产权残缺	chan quan can que	8
产权瑕疵	chan quan xia ci	6
产权界定	chan quan jie ding	1
产权登记	chan quan deng ji	3
产权登记证	chan quan deng ji zheng	11
产权登记面积	chan quan deng ji mian ji	11
产权设定	chan quan she ding	6
产量分成合同	chan liang fen cheng he tong	7
产销衔接	chan xiao xian jie	1
享乐价格法	xiang le jia ge fa	2
亮证执法制度	liang zheng zhi fa zhi du	5
亲子关系准据法	qin zi guan xi zhun ju fa	2
亲属法专论	qin shu fa zhuan lun	4
亲生父亲或母亲	qin sheng fu qin huo mu qin	6
亲生父母	qin sheng fu mu	48
人事代理制度	ren shi dai li zhi du	10
人事监督	ren shi jian du	9
人事聘用合同	ren shi pin yong he tong	8
人体器官移植委员会	ren ti qi guan yi zhi wei yuan hui	4
人体器官移植条例	ren ti qi guan yi zhi tiao li	3
人保财险机动车辆保险	ren bao cai xian ji dong che liang bao xian	2
人员监督	ren yuan jian du	4
人均国内生产总值	ren jun guo nei sheng chan zong zhi	28
人大代表议案	ren da dai biao yi an	11
人工影响天气管理条例	ren gong ying xiang tian qi guan li tiao li	7
人性化执法	ren xing hua zhi fa	12
人才派遣法	ren cai pai qian fa	4
人才贡献率	ren cai gong xian lv	3
人权和公民权宣言	ren quan he gong min quan xuan yan	19
人格权法专论	ren ge quan fa zhuan lun	2
人民代表大会主席团	ren min dai biao da hui zhu xi tuan	11
人民币升值压力	ren min bi sheng zhi ya li	14
人民币汇率法案	ren min bi hui lv fa an	3
人民币管理条例	ren min bi guan li tiao li	1
人民检察院组织法	ren min jian cha yuan zu zhi fa	7
人民法庭书记员	ren min fa ting shu ji yuan	3
人民法院审判案件	ren min fa yuan shen pan an jian	9
人民法院特定主管原则	ren min fa yuan te ding zhu guan yuan ze	5
人民法院组织法	ren min fa yuan zu zhi fa	20
人民法院诉讼收费办法	ren min fa yuan su song shou fei ban fa	10
人民监督员制度	ren min jian du yuan zhi du	12
人民解放军军事法院	ren min jie fang jun jun shi fa yuan	7
人民解放军土地管理局	ren min jie fang jun tu di guan li ju	2
人民解放军总参谋部	ren min jie fang jun zong can mou bu	12
人民解放军总后勤部	ren min jie fang jun zong hou qin bu	12
人民解放军总政治部	ren min jie fang jun zong zheng zhi bu	12
人民解放军财务部	ren min jie fang jun cai wu bu	5
人民警察常用法规选编	ren min jing cha chang yong fa gui xuan bian	2
人民调解员素质	ren min tiao jie yuan su zhi	5
人民陪审员制度	ren min pei shen yuan zhi du	12
人禽流感诊疗方案	ren qin liu gan zhen liao fang an	9
人类生殖科技条例	ren lei sheng zhi ke ji tiao li	4
人类精子库	ren lei jing zi ku	1
人类精子库管理办法	ren lei jing zi ku guan li ban fa	8
人类遗传资源管理条例	ren lei yi chuan zi yuan guan li tiao li	3
人行横道线	ren xing heng dao xian	3
人身权法典型判例研究	ren shen quan fa dian xing pan li yan jiu	3
亿霖木业	yi lin mu ye	12
仇嫌回避原则	chou xian hui bi yuan ze	3
今日说法故事精选	jin ri shuo fa gu shi jing xuan	3
介绍贿赂罪	jie shao hui lu zui	11
介绍贿赂行为	jie shao hui lu xing wei	8
从一重处断	cong yi zhong chu duan	9
从传统到现代	cong chuan tong dao xian dai	10
从传统到近代	cong chuan tong dao jin dai	5
从债务人	cong zhai wu ren	1
从债权	cong zhai quan	10
从契约到身份的回归	cong qi yue dao shen fen de hui gui	3
从宪法规范到规范宪法	cong xian fa gui fan dao gui fan xian fa	7
从属专利	cong shu zhuan li	9
从属权利要求	cong shu quan li yao qiu	11
从新兼从轻原则	cong xin jian cong qing yuan ze	5
从民事法律行为	cong min shi fa lv xing wei	5
从法律行为	cong fa lv xing wei	7
从给付义务	cong ji fu yi wu	8
从重处罚	cong zhong chu fa	25
仓储保管人	cang chu bao guan ren	7
仓储保管合同	cang chu bao guan he tong	9
仓储保管合同实务	cang chu bao guan he tong shi wu	3
仓储合同	cang chu he tong	11
仓单持有人	cang dan chi you ren	11
仓库契约	cang ku qi yue	2
仓库租赁合同	cang ku zu lin he tong	7
仓库管理制度	cang ku guan li zhi du	10
仓库防火安全管理规则	cang ku fang huo an quan guan li gui ze	7
他项权利登记	ta xiang quan li deng ji	11
付款委托	fu kuan wei tuo	9
仙游县城西中心小学	xian you xian cheng xi zhong xin xiao xue	2
代为清偿	dai wei qing chang	1
代为给付	dai wei ji fu	5
代位执行	dai wei zhi xing	9
代位权	dai wei quan	13
代位权制度	dai wei quan zhi du	9
代位权诉讼	dai wei quan su song	11
代位权诉讼制度	dai wei quan su song zhi du	3
代位求偿权	dai wei qiu chang quan	2
代位清偿	dai wei qing chang	7
代写文书	dai xie wen shu	7
代扣代缴	dai kou dai jiao	2
代执行	dai zhi xing	3
代物清偿	dai wu qing chang	8
代理出口合同	dai li chu kou he tong	7
代理协议	dai li xie yi	6
代理席位	dai li xi wei	6
代理房地产买卖	dai li fang di chan mai mai	6
代理房地产转让	dai li fang di chan zhuan rang	5
代理控告	dai li kong gao	7
代理收付款项	dai li shou fu kuan xiang	1
代理法律适用公约	dai li fa lv shi yong gong yue	3
以出顶进	yi chu ding jin	11
以刑去刑	yi xing qu xing	8
以卑犯尊	yi bei fan zun	6
以德配天	yi de pei tian	8
以拘代捕	yi ju dai bu	2
以格代科	yi ge dai ke	4
仲裁协议效力	zhong cai xie yi xiao li	10
仲裁协议效力异议	zhong cai xie yi xiao li yi yi	5
仲裁地	zhong cai di	1
仲裁机构	zhong cai ji gou	5
仲裁案例选编	zhong cai an li xuan bian	3
仲裁第三人制度	zhong cai di san ren zhi du	5
仲裁被诉人	zhong cai bei su ren	2
仲裁裁决	zhong cai cai jue	8
仲裁解决法	zhong cai jie jue fa	4
价值位阶原则	jia zhi wei jie yuan ze	4
价值分析业务	jia zhi fen xi ye wu	5
价值判断	jia zhi pan duan	33
价值形成过程	jia zhi xing cheng guo cheng	9
价值理性	jia zhi li xing	3
价值目标	jia zhi mu biao	9
价格保护	jia ge bao hu	11
价格形成机制	jia ge xing cheng ji zhi	14
价格承诺	jia ge cheng nuo	13
价格指标	jia ge zhi biao	11
价格放开	jia ge fang kai	13
价格欺诈	jia ge qi zha	4
价格法	jia ge fa	15
价格监测规定	jia ge jian ce gui ding	7
价格监督检查	jia ge jian du jian cha	14
价格管理机构	jia ge guan li ji gou	7
价格统计制度	jia ge tong ji zhi du	5
价格评估管理办法	jia ge ping gu guan li ban fa	5
价格违法行为	jia ge wei fa xing wei	14
任前公示制	ren qian gong shi zhi	10
任意性规定	ren yi xing gui ding	8
任职前公示制	ren zhi qian gong shi zhi	9
任职试用期制度	ren zhi shi yong qi zhi du	9
仿冒行为	fang mao xing wei	1
仿制药品审批办法	fang zhi yao pin shen pi ban fa	6
仿印邮票图案管理办法	fang yin you piao tu an guan li ban fa	5
企业一般制度	qi ye yi ban zhi du	2
企业专利工作办法	qi ye zhuan li gong zuo ban fa	4
企业专利工作管理办法	qi ye zhuan li gong zuo guan li ban fa	4
企业产权制度	qi ye chan quan zhi du	1
企业产权界定	qi ye chan quan jie ding	10
企业人事管理制度	qi ye ren shi guan li zhi du	8
企业人员行贿罪	qi ye ren yuan xing hui zui	10
企业债券	qi ye zhai quan	5
企业债券管理条例	qi ye zhai quan guan li tiao li	11
企业债券罪	qi ye zhai quan zui	8
企业兼并	qi ye jian bing	8
企业兼并合同纠纷	qi ye jian bing he tong jiu fen	5
企业兼并重组	qi ye jian bing chong zu	1
企业创新决策	qi ye chuang xin jue ce	4
企业制度	qi ye zhi du	5
企业劳动争议处理条例	qi ye lao dong zheng yi chu li tiao li	11
企业合并	qi ye he bing	19
企业名称权	qi ye ming cheng quan	1
企业名称登记管理规定	qi ye ming cheng deng ji guan li gui ding	11
企业国有产权	qi ye guo you chan quan	14
企业家协会	qi ye jia xie hui	27
企业工会工作条例	qi ye gong hui gong zuo tiao li	9
企业常用法律文书范本	qi ye chang yong fa lv wen shu fan ben	4
企业年度检验办法	qi ye nian du jian yan ban fa	10
企业年金试行办法	qi ye nian jin shi xing ban fa	10
企业年金试行方案	qi ye nian jin shi xing fang an	2
企业承包合同	qi ye cheng bao he tong	7
企业承包经营合同	qi ye cheng bao jing ying he tong	8
企业投资自主权	qi ye tou zi zi zhu quan	9
企业挂靠	qi ye gua kao	1
企业效益	qi ye xiao yi	1
企业效绩评价操作细则	qi ye xiao ji ping jia cao zuo xi ze	5
企业无抵押小额贷款	qi ye wu di ya xiao e dai kuan	8
企业治理结构	qi ye zhi li jie gou	12
企业法人年度检验办法	qi ye fa ren nian du jian yan ban fa	6
企业法人登记条例	qi ye fa ren deng ji tiao li	6
企业法人登记管理条例	qi ye fa ren deng ji guan li tiao li	12
企业法人破产还债程序	qi ye fa ren po chan huan zhai cheng xu	10
企业法律顾问考试教材	qi ye fa lv gu wen kao shi jiao cai	5
企业法律风险管理	qi ye fa lv feng xian guan li	7
企业法律风险防范	qi ye fa lv feng xian fang fan	10
企业注册局	qi ye zhu ce ju	2
企业登记代理	qi ye deng ji dai li	12
企业登记公示制度	qi ye deng ji gong shi zhi du	5
企业登记程序规定	qi ye deng ji cheng xu gui ding	8
企业租赁经营合同	qi ye zu lin jing ying he tong	7
企业章程	qi ye zhang cheng	13
企业管理委员会	qi ye guan li wei yuan hui	9
企业经营决策	qi ye jing ying jue ce	12
企业经营自主权	qi ye jing ying zi zhu quan	10
企业维持	qi ye wei chi	1
企业职工奖惩条例	qi ye zhi gong jiang cheng tiao li	11
企业设备管理制度	qi ye she bei guan li zhi du	4
企业财产保险合同	qi ye cai chan bao xian he tong	5
企业财产制度	qi ye cai chan zhi du	5
企业质量体系认证制度	qi ye zhi liang ti xi ren zheng zhi du	8
企业资金违规流入股市	qi ye zi jin wei gui liu ru gu shi	2
企业转让	qi ye zhuan rang	1
企业集团战略	qi ye ji tuan zhan lve	9
伊斯兰委员会	yi si lan wei yuan hui	2
优先承租权	you xian cheng zu quan	10
优先采矿权	you xian cai kuang quan	6
优化资源配置	you hua zi yuan pei zhi	1
优惠价格	you hui jia ge	17
优惠原产地规则	you hui yuan chan di gui ze	8
优惠待遇	you hui dai yu	29
优惠成交法	you hui cheng jiao fa	3
优抚安置	you fu an zhi	15
优抚安置制度	you fu an zhi zhi du	1
优抚家庭子女	you fu jia ting zi nv	8
优楼频螺迦叶	you lou pin luo jia ye	1
优秀辩护词代理词精选	you xiu bian hu ci dai li ci jing xuan	4
优者危险负担原则	you zhe wei xian fu dan yuan ze	5
优者危险责任	you zhe wei xian ze ren	2
优良种畜登记规则	you liang zhong chu deng ji gui ze	6
优质产品标志实施办法	you zhi chan pin biao zhi shi shi ban fa	3
会员分级结算制度	hui yuan fen ji jie suan zhi du	10
会展法	hui zhan fa	7
会展法规	hui zhan fa gui	5
会展知识产权	hui zhan zhi shi chan quan	8
会社法	hui she fa	2
会计专业职务试行条例	kuai ji zhuan ye zhi wu shi xing tiao li	8
会计人员职权条例	kuai ji ren yuan zhi quan tiao li	6
会计从业资格管理办法	kuai ji cong ye zi ge guan li ban fa	10
会计信息产权	kuai ji xin xi chan quan	8
会计地方法规	kuai ji di fang fa gui	4
会计基础工作规范	kuai ji ji chu gong zuo gui fan	12
会计档案管理办法	kuai ji dang an guan li ban fa	10
会计法	kuai ji fa	34
会计法律制度	kuai ji fa lv zhi du	11
