# 青简领域词库：地名，由 qingjian-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
上坂村	shang ban cun	3
上坊	shang fang	15
上坑	shang keng	6
上坑村	shang keng cun	6
上坡坑	shang po keng	3
上坪寨乡	shang ping zhai xiang	3
上城区秋涛路	shang cheng qu qiu tao lu	2
上城风景	shang cheng feng jing	5
上埔	shang pu	3
上埠	shang bu	8
上堡村	shang bao cun	7
上堰	shang yan	3
上塘村	shang tang cun	1
上塘路口	shang tang lu kou	6
上塘路舟山路口	shang tang lu zhou shan lu kou	3
上墩	shang dun	2
上壤塘乡	shang rang tang xiang	4
上大垅	shang da long	5
上大垅街道	shang da long jie dao	3
上大城	shang da cheng	3
上天竺	shang tian zhu	30
上妙	shang miao	11
上姚	shang yao	5
上姚村	shang yao cun	4
上姜	shang jiang	5
上宁桥	shang ning qiao	4
上宅	shang zhai	7
上宋	shang song	6
上官坊乡	shang guan fang xiang	3
上宜园	shang yi yuan	2
上宝	shang bao	6
上察隅镇	shang cha yu zhen	6
上寨	shang zhai	12
上寨村	shang zhai cun	6
上寺店乡	shang si dian xiang	2
上小河	shang xiao he	2
上尧	shang yao	6
上尧村	shang yao cun	5
上屋村	shang wu cun	2
上屯	shang tun	4
上山排	shang shan pai	4
上山村	shang shan cun	9
上山溪	shang shan xi	2
上岗头	shang gang tou	3
上岙	shang ao	2
上岭	shang ling	6
上峡乡	shang xia xiang	4
上川岛	shang chuan dao	24
上川路	shang chuan lu	1
上布	shang bu	7
上帅镇	shang shuai zhen	2
上帝王	shang di wang	3
上庄水库	shang zhuang shui ku	7
上庄站	shang zhuang zhan	1
上库力农场	shang ku li nong chang	4
上店	shang dian	7
上店路口	shang dian lu kou	2
上延河	shang yan he	2
上张村	shang zhang cun	4
上徐	shang xu	6
上徐村	shang xu cun	1
上德	shang de	8
上忍	shang ren	5
上怡二村	shang yi er cun	1
上怡新村	shang yi xin cun	5
上户沟哈萨克民族乡	shang hu gou ha sa ke min zu xiang	4
上扬村	shang yang cun	3
上护	shang hu	6
上拉秀乡	shang la xiu xiang	7
上新城乡	shang xin cheng xiang	4
上新塘	shang xin tang	3
上新屋	shang xin wu	1
上新庄	shang xin zhuang	21
上新村	shang xin cun	6
上新河	shang xin he	3
上方村	shang fang cun	5
上方门	shang fang men	1
上旺	shang wang	4
上明乡	shang ming xiang	2
上春	shang chun	11
上春村	shang chun cun	4
上智村	shang zhi cun	2
上朗	shang lang	5
上望	shang wang	9
上木拉乡	shang mu la xiang	2
上木村	shang mu cun	1
上村仔	shang cun zai	2
上村小学	shang cun xiao xue	3
上村村	shang cun cun	1
上村社区	shang cun she qu	2
上杨回族乡	shang yang hui zu xiang	3
上杨村	shang yang cun	5
上杭路	shang hang lu	3
上杭路芳馨园	shang hang lu fang xin yuan	2
上林村	shang lin cun	13
上林湖	shang lin hu	10
上林苑	shang lin yuan	38
上林苑小区	shang lin yuan xiao qu	4
上林苑社区	shang lin yuan she qu	2
上柴厂	shang chai chang	2
上栅	shang zha	1
上栗	shang li	12
上栗区	shang li qu	2
上格	shang ge	6
上桥街道	shang qiao jie dao	2
上梅林	shang mei lin	3
上梧江瑶族乡	shang wu jiang yao zu xiang	5
上楼村	shang lou cun	5
上楼背	shang lou bei	3
上横街	shang heng jie	5
上步中学	shang bu zhong xue	6
上步中路	shang bu zhong lu	1
上步北路	shang bu bei lu	6
上步南路	shang bu nan lu	1
上步码头	shang bu ma tou	5
上步路	shang bu lu	3
上水头	shang shui tou	1
上水径	shang shui jing	3
上水流	shang shui liu	7
上水磨村	shang shui mo cun	4
上江	shang jiang	8
上江考棚	shang jiang kao peng	2
上江路	shang jiang lu	6
上沙	shang sha	9
上沙新村	shang sha xin cun	4
上沙村	shang sha cun	1
上沙河	shang sha he	1
上沙街	shang sha jie	6
上沟	shang gou	7
上河坝	shang he ba	1
上河头	shang he tou	3
上河村	shang he cun	8
上河湾	shang he wan	6
上河溪乡	shang he xi xiang	4
上河滨	shang he bin	2
上河街街道	shang he jie jie dao	2
上河西	shang he xi	4
上泉	shang quan	4
上泉村	shang quan cun	1
上洋	shang yang	40
上洋村	shang yang cun	6
上洋桥	shang yang qiao	2
上洋路	shang yang lu	3
上洛阳	shang luo yang	4
上洞	shang dong	7
上洞街乡	shang dong jie xiang	5
上洲	shang zhou	6
上浦	shang pu	7
上浦村	shang pu cun	1
上浦路	shang pu lu	2
上浮桥	shang fu qiao	3
上海东路	shang hai dong lu	1
上海中学	shang hai zhong xue	25
上海体育场	shang hai ti yu chang	18
上海体育馆	shang hai ti yu guan	17
上海儿童医学中心	shang hai er tong yi xue zhong xin	5
上海农产品市场	shang hai nong chan pin shi chang	2
上海农学院	shang hai nong xue yuan	7
上海华联	shang hai hua lian	6
上海南汇区周浦镇	shang hai nan hui qu zhou pu zhen	2
上海南汇区惠南镇	shang hai nan hui qu hui nan zhen	2
上海南汇区芦潮港镇	shang hai nan hui qu lu chao gang zhen	2
上海口	shang hai kou	6
上海嘉定区南翔镇	shang hai jia ding qu nan xiang zhen	5
上海嘉定区外冈镇	shang hai jia ding qu wai gang zhen	2
上海嘉定区安亭镇	shang hai jia ding qu an ting zhen	4
上海嘉定区徐行镇	shang hai jia ding qu xu xing zhen	4
上海嘉定区江桥镇	shang hai jia ding qu jiang qiao zhen	1
上海嘉定区马陆镇	shang hai jia ding qu ma lu zhen	4
上海嘉定区黄渡镇	shang hai jia ding qu huang du zhen	3
上海奉贤区南桥镇	shang hai feng xian qu nan qiao zhen	1
上海奉贤区四团镇	shang hai feng xian qu si tuan zhen	3
上海奉贤区头桥镇	shang hai feng xian qu tou qiao zhen	3
上海奉贤区庄行镇	shang hai feng xian qu zhuang xing zhen	3
上海奉贤区金汇镇	shang hai feng xian qu jin hui zhen	4
上海奉贤区青村镇	shang hai feng xian qu qing cun zhen	2
上海宾馆	shang hai bin guan	6
上海崇明县城桥镇	shang hai chong ming xian cheng qiao zhen	4
上海崇明县庙镇	shang hai chong ming xian miao zhen	3
上海工业综合开发区	shang hai gong ye zong he kai fa qu	4
上海师大	shang hai shi da	6
上海新村	shang hai xin cun	1
上海春城	shang hai chun cheng	5
上海机床厂	shang hai ji chuang chang	17
上海松江区九亭镇	shang hai song jiang qu jiu ting zhen	5
上海松江区叶榭镇	shang hai song jiang qu ye xie zhen	4
上海松江区新桥镇	shang hai song jiang qu xin qiao zhen	4
上海松江区新浜镇	shang hai song jiang qu xin bang zhen	3
上海松江区泖港镇	shang hai song jiang qu mao gang zhen	2
上海松江区泗泾镇	shang hai song jiang qu si jing zhen	4
上海松江区洞泾镇	shang hai song jiang qu dong jing zhen	3
上海松江区石湖荡镇	shang hai song jiang qu shi hu dang zhen	2
上海松江区车墩镇	shang hai song jiang qu che dun zhen	1
上海植物园	shang hai zhi wu yuan	12
上海浦东新区三林镇	shang hai pu dong xin qu san lin zhen	4
上海浦东新区北蔡镇	shang hai pu dong xin qu bei cai zhen	3
上海浦东新区合庆镇	shang hai pu dong xin qu he qing zhen	3
上海浦东新区唐镇	shang hai pu dong xin qu tang zhen	4
上海浦东新区花木镇	shang hai pu dong xin qu hua mu zhen	2
上海浦东新区金桥镇	shang hai pu dong xin qu jin qiao zhen	4
上海浦东新区高东镇	shang hai pu dong xin qu gao dong zhen	2
上海浦东新区高桥镇	shang hai pu dong xin qu gao qiao zhen	3
上海浦东新区高行镇	shang hai pu dong xin qu gao xing zhen	2
上海游泳馆	shang hai you yong guan	5
上海火车站	shang hai huo che zhan	31
上海莘城	shang hai xin cheng	2
上海西新村	shang hai xi xin cun	4
上海西站	shang hai xi zhan	10
上海金山区兴塔镇	shang hai jin shan qu xing ta zhen	2
上海金山区吕巷镇	shang hai jin shan qu lv xiang zhen	4
上海金山区山阳镇	shang hai jin shan qu shan yang zhen	3
上海金山区廊下镇	shang hai jin shan qu lang xia zhen	4
上海金山区朱泾镇	shang hai jin shan qu zhu jing zhen	3
上海金山区枫泾镇	shang hai jin shan qu feng jing zhen	1
上海金山区漕泾镇	shang hai jin shan qu cao jing zhen	4
上海金山区金山卫镇	shang hai jin shan qu jin shan wei zhen	4
上海闵行区七宝镇	shang hai min hang qu qi bao zhen	5
上海闵行区华漕镇	shang hai min hang qu hua cao zhen	5
上海闵行区吴泾镇	shang hai min hang qu wu jing zhen	4
上海闵行区梅陇镇	shang hai min hang qu mei long zhen	6
上海闵行区浦江镇	shang hai min hang qu pu jiang zhen	5
上海闵行区莘庄镇	shang hai min hang qu xin zhuang zhen	5
上海闵行区虹桥镇	shang hai min hang qu hong qiao zhen	3
上海闵行区颛桥镇	shang hai min hang qu zhuan qiao zhen	4
上海闵行区马桥镇	shang hai min hang qu ma qiao zhen	4
上海青浦区华新镇	shang hai qing pu qu hua xin zhen	3
上海青浦区徐泾镇	shang hai qing pu qu xu jing zhen	2
上海青浦区朱家角镇	shang hai qing pu qu zhu jia jiao zhen	3
上海青浦区白鹤镇	shang hai qing pu qu bai he zhen	3
上海青浦区练塘镇	shang hai qing pu qu lian tang zhen	3
上海青浦区赵巷镇	shang hai qing pu qu zhao xiang zhen	3
上海青浦区重固镇	shang hai qing pu qu zhong gu zhen	4
上海青浦区金泽镇	shang hai qing pu qu jin ze zhen	3
上涌村	shang yong cun	5
上深井	shang shen jing	2
上深水	shang shen shui	4
上深涧乡	shang shen jian xiang	4
上清	shang qing	9
上清宫	shang qing gong	6
上清寺	shang qing si	14
上清水	shang qing shui	5
上渡	shang du	13
上湖	shang hu	7
上湖村	shang hu cun	3
上溪村	shang xi cun	4
上滩头	shang tan tou	3
上漫	shang man	4
上潞园小区	shang lu yuan xiao qu	5
上灯村	shang deng cun	3
上灶	shang zao	1
上烟村	shang yan cun	2
上狮村	shang shi cun	3
上王家坪	shang wang jia ping	2
上环桥村	shang huan qiao cun	2
上田坝乡	shang tian ba xiang	4
上田村	shang tian cun	3
上甸子村	shang dian zi cun	1
上石	shang shi	7
上石堡	shang shi bao	3
上石家	shang shi jia	3
上石村	shang shi cun	3
上碧湘街	shang bi xiang jie	4
上磨山	shang mo shan	3
上祝	shang zhu	6
上祠堂	shang ci tang	4
上秃亥乡	shang tu hai xiang	4
上秦村	shang qin cun	3
上窑	shang yao	9
上站	shang zhan	12
上肖墙	shang xiao qiang	1
上肚子	shang du zi	4
上舍村	shang she cun	3
上花园村	shang hua yuan cun	3
上花岔乡	shang hua cha xiang	5
上苑	shang yuan	8
上英	shang ying	6
上营	shang ying	7
上营子	shang ying zi	3
上营子村	shang ying zi cun	1
上葫芦	shang hu lu	7
上蒋	shang jiang	6
上蒲溪瑶族乡	shang pu xi yao zu xiang	6
上虹新村	shang hong xin cun	2
上街镇政府	shang jie zhen zheng fu	5
上西办事处	shang xi ban shi chu	2
上西坑	shang xi keng	2
上西坑村	shang xi keng cun	3
上西市村	shang xi shi cun	2
上西村	shang xi cun	5
上西顺城街	shang xi shun cheng jie	3
上贡麻乡	shang gong ma xiang	3
上赵村	shang zhao cun	3
上路头	shang lu tou	3
上路村	shang lu cun	3
上车上	shang che shang	6
上辇	shang nian	3
上辛堡信用社	shang xin bao xin yong she	4
上辛堡村	shang xin bao cun	5
上逸园	shang yi yuan	3
上郎村	shang lang cun	3
上郝庄村	shang hao zhuang cun	5
上郭	shang guo	6
上郭乡	shang guo xiang	3
上都村	shang du cun	2
上金龙	shang jin long	3
上鉴	shang jian	3
上钢一厂	shang gang yi chang	1
上钢三厂	shang gang san chang	7
上钢三村	shang gang san cun	2
上钢新村	shang gang xin cun	2
上钢路	shang gang lu	5
上钱村	shang qian cun	3
上镇	shang zhen	7
上阁	shang ge	14
上阮	shang ruan	4
上阳	shang yang	6
上陂	shang bei	3
上降乡	shang jiang xiang	3
上陡门	shang dou men	5
上陡门住宅区	shang dou men zhu zhai qu	5
上青山	shang qing shan	5
上饶地区	shang rao di qu	3
上马墩	shang ma dun	3
上马墩街道	shang ma dun jie dao	5
上高寨乡	shang gao zhai xiang	3
上高桥回族彝族苗族乡	shang gao qiao hui zu yi zu miao zu xiang	3
上鸡	shang ji	6
上龙潭	shang long tan	3
上龛乡	shang kan xiang	7
下丁家	xia ding jia	1
下东洲	xia dong zhou	2
下亚东乡	xia ya dong xiang	4
下仓	xia cang	5
下付	xia fu	3
下份	xia fen	5
下伍堡	xia wu bao	1
下会村	xia hui cun	3
下元市场	xia yuan shi chang	2
下元街道	xia yuan jie dao	4
下八寨乡	xia ba zhai xiang	2
下关后	xia guan hou	3
下关街道	xia guan jie dao	3
下农场	xia nong chang	5
下农家	xia nong jia	7
下冻镇	xia dong zhen	5
下刘	xia liu	6
下包	xia bao	7
下十号村	xia shi hao cun	3
下南山	xia nan shan	4
下南路	xia nan lu	4
下卢	xia lu	4
下厝	xia cuo	38
下原	xia yuan	7
下双乡	xia shuang xiang	2
下双坑	xia shuang keng	2
下后街	xia hou jie	2
下吕浦	xia lv pu	8
下唐刀胡同	xia tang dao hu tong	3
下喇叭	xia la ba	7
下喇叭乡	xia la ba xiang	5
下地村	xia di cun	4
下场镇	xia chang zhen	3
下坂	xia ban	5
下坂峪村	xia ban yu cun	4
下坂村	xia ban cun	1
下坊	xia fang	2
下坑	xia keng	8
下坑村	xia keng cun	2
下坝子	xia ba zi	3
下坡屯	xia po tun	4
下坦	xia tan	3
下坪村	xia ping cun	6
下垄	xia long	3
下垅	xia long	3
下垟乡	xia yang xiang	3
下垵村	xia an cun	1
下城区石桥路	xia cheng qu shi qiao lu	4
下埔	xia pu	21
下埔村	xia pu cun	4
下埔社区	xia pu she qu	2
下埠	xia bu	1
下堡村	xia bao cun	5
下塘村	xia tang cun	6
下墓	xia mu	9
下墩	xia dun	5
下大垅	xia da long	5
下大城	xia da cheng	3
下大塘	xia da tang	3
下夹河乡	xia jia he xiang	3
下孟乡	xia meng xiang	2
下宁桥	xia ning qiao	4
下宅	xia zhai	14
下宅村	xia zhai cun	5
下宫	xia gong	6
下宫村	xia gong cun	10
下宫村乡	xia gong cun xiang	2
下寅	xia yin	4
下寨	xia zhai	14
下寮村	xia liao cun	3
下尾	xia wei	6
下尾村	xia wei cun	4
下屋	xia wu	22
下屋场	xia wu chang	2
下屯	xia tun	4
下山后村	xia shan hou cun	2
下山坝	xia shan ba	3
下山头	xia shan tou	1
下山村	xia shan cun	1
下山溪	xia shan xi	4
下岐村	xia qi cun	4
下岗胡同	xia gang hu tong	3
下岙	xia ao	8
下岩	xia yan	5
下岩石	xia yan shi	7
下岭	xia ling	2
下岭头	xia ling tou	3
下岭村	xia ling cun	4
下岸	xia an	3
下川岛	xia chuan dao	17
下巷	xia xiang	8
下布	xia bu	5
下库	xia ku	6
下应	xia ying	10
下底塘	xia di tang	3
下庙	xia miao	6
下廿里铺乡	xia nian li pu xiang	2
下张	xia zhang	8
下径	xia jing	4
下德	xia de	5
下念头村	xia nian tou cun	3
下房村	xia fang cun	3
下拉秀乡	xia la xiu xiang	1
下拖	xia tuo	8
下拱桥	xia gong qiao	2
下摄司街道	xia she si jie dao	8
下斜街	xia xie jie	4
下新厝	xia xin cuo	31
下新屋	xia xin wu	3
下新屋村	xia xin wu cun	3
下旺	xia wang	4
下昂村	xia ang cun	2
下星	xia xing	4
下曲村	xia qu cun	2
下曲镇	xia qu zhen	1
下曾村	xia ceng cun	2
下木拉乡	xia mu la xiang	3
下木村	xia mu cun	3
下木角乡	xia mu jiao xiang	3
下朱庄街道	xia zhu zhuang jie dao	2
下朱村	xia zhu cun	4
下李乡	xia li xiang	2
下村村	xia cun cun	5
下杖	xia zhang	3
下杨	xia yang	5
下杨村	xia yang cun	5
下板泉	xia ban quan	4
下林	xia lin	6
下林村	xia lin cun	2
下枣林乡	xia zao lin xiang	3
下柏村	xia bai cun	4
下栅	xia zha	4
下栅检查站	xia zha jian cha zhan	6
下格	xia ge	7
下格村	xia ge cun	2
下梅林	xia mei lin	1
下梅林市场	xia mei lin shi chang	5
下楼角	xia lou jiao	3
下步庙	xia bu miao	4
下段	xia duan	11
下水乡	xia shui xiang	1
下水头	xia shui tou	4
下水头乡	xia shui tou xiang	3
下水底	xia shui di	3
下水径	xia shui jing	3
下水磨	xia shui mo	4
下水磨村	xia shui mo cun	4
下水腰村	xia shui yao cun	3
下江乡	xia jiang xiang	4
下江村	xia jiang cun	4
下汤村	xia tang cun	1
下沙城	xia sha cheng	3
下沙小学	xia sha xiao xue	5
下沙村	xia sha cun	3
下沙河	xia sha he	3
下沙综合市场	xia sha zong he shi chang	3
下沙高教东区	xia sha gao jiao dong qu	6
下沙高教文津站	xia sha gao jiao wen jin zhan	6
下沙高教文溯站	xia sha gao jiao wen su zhan	5
下沟小学	xia gou xiao xue	2
下河坝	xia he ba	5
下河坝街	xia he ba jie	2
下河湾	xia he wan	2
下河滨	xia he bin	2
下河街	xia he jie	10
下泉	xia quan	4
下洋村	xia yang cun	4
下洛阳	xia luo yang	4
下洪	xia hong	4
下洪村	xia hong cun	5
下洼	xia wa	6
下洼子	xia wa zi	4
下浦街道	xia pu jie dao	4
下海乡	xia hai xiang	2
下海口	xia hai kou	23
下涂	xia tu	4
下涌	xia yong	9
下涌村	xia yong cun	2
下涝坝乡	xia lao ba xiang	5
下淀	xia dian	7
下深井	xia shen jing	1
下渡	xia du	8
下渡乡	xia du xiang	4
下港	xia gang	6
下湄桥街道	xia mei qiao jie dao	6
下湾	xia wan	6
下溪村	xia xi cun	5
下漫	xia man	3
下灯村	xia deng cun	3
下灶	xia zao	2
下灶村	xia zao cun	3
下炉村	xia lu cun	1
下烟村	xia yan cun	2
下玲村	xia ling cun	2
下瑶	xia yao	1
下疃	xia tuan	4
下白	xia bai	7
下白石	xia bai shi	2
下石堡	xia shi bao	2
下石家	xia shi jia	3
下石村	xia shi cun	5
下码头	xia ma tou	8
下碧湘街	xia bi xiang jie	5
下祭	xia ji	3
下窝	xia wo	5
下窝头镇	xia wo tou zhen	3
下站街道	xia zhan jie dao	4
下罗	xia luo	6
下罗乡	xia luo xiang	1
下舍村	xia she cun	3
下花园村	xia hua yuan cun	3
下苇店	xia wei dian	5
下苇甸	xia wei dian	6
下苑村	xia yuan cun	4
下茶村	xia cha cun	2
下莲池	xia lian chi	1
下营子	xia ying zi	1
下营藏族乡	xia ying zang zu xiang	3
下董	xia dong	4
下蔡	xia cai	37
下藏科乡	xia zang ke xiang	3
下裴	xia pei	3
下西	xia xi	7
下西坑	xia xi keng	4
下西坑村	xia xi keng cun	3
下西坝	xia xi ba	1
下西市	xia xi shi	3
下西社区	xia xi she qu	2
下许	xia xu	5
下谢	xia xie	6
下谢村	xia xie cun	2
下贡麻乡	xia gong ma xiang	3
下车上	xia che shang	8
下车子	xia che zi	5
下辛堡村	xia xin bao cun	5
下辛庄	xia xin zhuang	5
下郑	xia zheng	4
下郭街道	xia guo jie dao	4
下都	xia du	13
下都村	xia du cun	4
下金厂乡	xia jin chang xiang	2
下金龙路口	xia jin long lu kou	2
下钱东村	xia qian dong cun	4
下钱村	xia qian cun	5
下镇	xia zhen	6
下镇村	xia zhen cun	5
下陂	xia bei	3
下陈	xia chen	7
下隆	xia long	4
下雄乡	xia xiong xiang	4
下面高乡	xia mian gao xiang	4
下马岭	xia ma ling	1
下马峪乡	xia ma yu xiang	2
下马崖乡	xia ma ya xiang	7
下马庄	xia ma zhuang	11
下马石	xia ma shi	1
下马陵	xia ma ling	10
下麦地乡	xia mai di xiang	3
下黄	xia huang	7
下黄村	xia huang cun	4
下黎家坡	xia li jia po	4
下龙潭	xia long tan	1
不落教	bu luo jiao	3
不连沟	bu lian gou	4
且拖乡	qie tuo xiang	1
且莫乡	qie mo xiang	3
世埠	shi bu	4
世家星城	shi jia xing cheng	1
世涛天朗小区	shi tao tian lang xiao qu	2
世界乐园	shi jie le yuan	6
世界公园	shi jie gong yuan	14
世界地热博览园	shi jie di re bo lan yuan	6
世界花卉大观园	shi jie hua hui da guan yuan	9
世界路	shi jie lu	6
世科	shi ke	3
世科坊	shi ke fang	5
世纪华城	shi ji hua cheng	5
世纪嘉园	shi ji jia yuan	6
世纪城东区社区	shi ji cheng dong qu she qu	2
世纪城市花园	shi ji cheng shi hua yuan	3
世纪城西区社区	shi ji cheng xi qu she qu	3
