# 由 qingjian-gloss-gen 生成（LLM）。词	[词性. ]译词	[词性. ]译词
㕮	v. chew
一直以为	phr. always thought
一直以来	phr. all along
一直在	phr. have been
一直在找	phr. keep looking
一直处于	v. have been in
一直就是	phr. has always been
一直是	phr. always
一直有	phr. always have
一直未	phr. never
一直没	adv. never have
一直没有	phr. have not yet
一直被	phr. always been
一直觉得	phr. always feel
一直走	phr. keep walking
一直这样	phr. always like this
一直都	phr. always
一直都在	phr. always there
一直都很	phr. have always been
一直都是	phr. always been
一眉道人鱼	n. fish
一看	v. take a look
一看到	v. as soon as see
一看见	phr. as soon as see
一真	n. Yizhen
一眨眼	phr. in a blink
一眼	n. a glance
一眼就	adv. at a glance
一着不慎	phr. one wrong move
一睡	v. sleep
一瞥	n. glimpse
一瞬	n. moment	n. instant
一瞬间	n. moment
一知半解	n. half knowledge
一码事	phr. same thing
一砖一瓦	phr. brick by brick
一破夫差国	phr. destroy Fuchai's state
一碗	m. a bowl of
一碗水端平	phr. be impartial
一碗面	n. a bowl of noodles
一碗饭	n. a bowl of rice
一碧万顷	phr. vast blue expanse
一碰	v. touch once
一票	n. one vote
一票制	n. one-ticket system
一种	phr. a kind of
一种方法	phr. a method
一种爱鱼心各异	phr. different hearts love fish
一种菌	phr. a kind of bacteria
一种菌子	phr. a kind of mushroom
一科	n. one subject
一秒	n. one second
一秒钟	n. one second
一程	m. a stretch
一程子	n. a period
一穷二白	phr. poor and blank
一窍不通	phr. know nothing
一窝	n. a nest	n. a litter
一窝蜂	adv. in a swarm
一站	n. one stop
一章	n. chapter one
一端	n. one end
一笑	v. laugh
一笑一颦	phr. every smile and frown
一笑了之	phr. laugh it off
一笑失百忧	phr. one smile dispels worries
一笑置之	phr. laugh off
一笑而过	phr. laugh off
一笔	m. a sum
一笔勾销	phr. cancel completely
一笔带过	phr. mention briefly
一笔抹杀	phr. blot out
一笛闻吹出塞愁	phr. flute plays frontier sorrow
一等	adj. first-class
一等奖	n. first prize
一等座	n. first-class seat
一筐	m. a basket of
一筹莫展	phr. at one's wit's end
一签字	n. one signature
一箭之地	phr. short distance
一箭之遥	phr. a stone's throw
一箱	phr. a box
一篇	m. a piece of
一篇文章	phr. an article
一篇读罢头飞雪	phr. after reading
一篓油水饺	n. dumplings
一米	m. one meter
一米七	n. 1.7 meters
一米九	n. one meter ninety
一米五	n. 1.5 meters
一米八	phr. 1.8 meters
一米六	phr. 1.6 meters
一米线	n. one-meter line
一类	n. a kind
一类人	phr. a kind of people
一粒	m. a grain
一系列	phr. a series of
一系列的	phr. a series of
一红	v. turn red
一级	adj. first-class
一级亲属	n. first-degree relative
一级学科	n. first-level discipline
一级市场	n. primary market
一级方程序赛车	n. Formula One
一级漏电	n. first-level leakage
一级漏电保护	n. leakage protection
一级缓存	n. L1 cache
一级谋杀	n. first-degree murder
一级预防	n. primary prevention
一纬路	n. road
一纸空文	phr. dead letter
一线	n. frontline	n. first line
一线城市	n. first-tier city
一线牵	phr. matchmaking
一线生机	phr. a ray of hope
一线直升机	n. frontline helicopter
一线铅笔	n. mechanical pencil
一组	n. group one
一经	adv. once	adv. as soon as
一绝	n. unique skill
一统天下	phr. unify the country
一维数组	n. one-dimensional array
一缕	m. wisp
一罐	phr. a can
一群	m. a group of
一群人	n. a group of people
一者	pron. one
一而再再而三	adv. repeatedly
一职	n. a post
一职高	n. first vocational high school
一肚子	phr. full of
一股	m. a stream of
一股脑儿	adv. completely
一胎	n. first child
一脚	n. a kick
一脸	n. one face
一腔	m. a burst of
一腔热血勤珍重	phr. cherish passionate blood
一臂之力	phr. a helping hand
一致	adj. consistent
一致性	n. consistency
一致性哈希	n. consistent hashing
一致性检验	n. consistency check
一致性测试	n. conformance test
一致性约束	n. consistency constraint
一致的	adj. consistent	adj. identical
一致表决	n. unanimous vote
一致裁决	n. unanimous verdict
一致认为	v. agree unanimously
一般	adj. general	adj. ordinary
一般一般	phr. so-so	phr. average
一般不会	phr. usually not
一般交易条件	n. general terms and conditions
一般人	n. ordinary person
一般侵权行为	n. tort
一般保证	n. general guarantee
一般共同犯罪	n. ordinary joint crime
一般共犯	n. joint offender
一般函数	n. general function
一般剑齿虎	n. common saber-toothed tiger
一般化	v. generalize
一般吧	phr. so-so
一般商事行为	n. general commercial act
一般啊	adj. so-so
一般图匹配	n. general graph matching
一般地方立法	n. general local legislation
一般处理程序	n. generic handler
一般担保	n. general guarantee
一般担保责任	n. general guarantee liability
一般授权	n. general authorization
一般授权立法	n. delegated legislation
一般是	phr. generally is
一般权利	n. general right
一般来说	phr. generally speaking
一般法	n. general law
一般法律监督	n. legal supervision
一般流氓行为	n. general hooliganism
一般渎职罪	n. general malfeasance
一般用户	n. general user
一般留置权	n. general lien
一般的	adj. general	adj. common
一般税收协定	n. general tax treaty
一般累犯	n. general recidivism
一般经济责任制	n. economic responsibility
一般经纪商	n. general broker
一般缓刑	n. general probation
一般而言	phr. generally speaking
一般般	adj. so-so
一般般啦	phr. so-so
一般见识	phr. lower oneself
一般转让背书	n. general endorsement
一般过失	n. ordinary negligence
一般违法行为	n. general illegal act
一般都	phr. generally
一般附加险	n. general additional insurance
一舸逐鸱夷	phr. boat chasing Chi Yi
一色	n. same color
一色深山天牛	n. longhorn beetle
一色罗盲蝽	n. plant bug
一色齿胸肖叶甲	n. leaf beetle
一节	m. section
一节课	n. one class
一节路	n. section of road
一花独放	phr. single flower blooms
一草一木	phr. every blade of grass
一落千丈	phr. plunge
一蟹不如一蟹	phr. each worse
一行	n. line
一行人	n. party	n. group
一行复一行	phr. line after line
一街新村	n. Yijie New Village
一衣带水	phr. narrow strip of water
一表人才	phr. handsome
一袋	n. a bag
一裁终局	phr. final arbitration
一裁终局制度	n. system of final arbitration
一见	v. see at first sight
一见倾心	phr. love at first sight
一见钟情	phr. love at first sight
一见面	phr. upon meeting
一视同仁	phr. treat equally
一览	n. overview
一览众山小	phr. all mountains look small
一览表	n. list	n. table
一觉	m. a sleep
一觉睡	v. sleep a sleep
一觉睡到	phr. sleep until
一觉睡醒	phr. wake up from sleep
一觉醒来	phr. wake up
一角	n. corner
一角甲	n. beetle
一角鱼	n. unicorn fish
一角鲸	n. narwhal
一角鲸科	n. Monodontidae
一触即发	phr. explosive
一触即溃	phr. collapse at first touch
一言一行	phr. every word and deed
一言不发	phr. not say a word
一言不合	phr. at the slightest disagreement
一言为定	phr. it's a deal
一言为重百金轻	phr. a promise outweighs gold
一言九鼎	phr. one's word is gold
一言以蔽之	phr. in a word
一言堂	n. one-man rule
一言既出	phr. a word spoken
一言难尽	phr. hard to explain
一词	n. word
一试	v. try
一语不发	phr. not say a word
一语双关	phr. pun
一误再误	phr. repeat mistakes
一说	v. mention
一诺千金	phr. promise is gold
一诺千金重	phr. promise is gold
一课	n. lesson
一败涂地	phr. utterly defeated
一贫如洗	phr. penniless
一贯	adj. consistent
一贯性	n. consistency
一贯煎	n. Yiguanjian decoction
一贯的	adj. consistent
一贯道	n. Yiguandao
一走	v. leave once
一走了之	phr. walk away
一起	adv. together
一起上	phr. all together
一起买	phr. buy together
一起住	phr. live together
一起做	v. do together
一起去	phr. go together
一起去吃	phr. go eat together
一起去吧	phr. let's go together
一起去啊	phr. let's go together
一起参加	phr. participate together
一起发	phr. send together
一起吃	v. eat together
一起吃饭	phr. eat together
一起吧	phr. let's go together
一起唱	v. sing together
一起啊	phr. together
一起回	phr. return together
一起回去	phr. go back together
一起工作	phr. work together
一起开	phr. open together
一起快乐	phr. have fun together
一起成长	v. grow together
一起旅行	phr. travel together
一起来	phr. come together
一起玩	phr. play together
一起玩耍	v. play together
一起生活	phr. live together
一起睡	v. sleep together
一起睡觉	phr. sleep together
一起行动	v. act together
一起走	phr. walk together
一起走吧	phr. let's go together
一起走过	phr. walk together
一起跑	phr. run together
一起跨年	phr. spend New Year together
一起飞	v. fly together
一趟	m. one trip
一跤	n. a fall
一路	n. all the way
一路上	adv. along the way
一路吉祥	phr. good luck
一路平安	phr. have a safe trip
一路经行处	phr. along the way
一路货	n. the same sort
一路货色	phr. same kind
一路走好	phr. farewell
一路走来	phr. along the way
一路顺风	phr. bon voyage
一路风尘	phr. travel-worn
一跳	v. jump
一蹴可几	phr. easy
一蹴而就	phr. accomplish in one move
一蹶不振	phr. collapse
一身	n. whole body
一身二任	phr. hold two posts
一身无所求	phr. body seeks nothing
一身是胆	phr. all courage
一身正气	phr. upright
一身汗	phr. sweating all over
一身都是愁	phr. full of sorrow
一车	n. a carload
一转	v. turn once
一转眼	phr. in a blink
一轮	m. round
一轴两翼	n. one axis two wings
一辆车	phr. a car
一辈	n. lifetime
一辈子	n. lifetime	n. whole life
一辈子的	adj. lifelong
一辈子都	phr. all one's life
一边	n. one side
一边倒	phr. lean to one side
一边去	phr. go away
一边吃	phr. eat while
一边看	phr. while watching
一边说	phr. while saying
一过性脑缺血	n. TIA
一进	phr. as soon as enter
一连	adv. continuously
一连串	adj. series of
一连气儿	adv. in one breath
一通	m. a call
一遍	m. once
一遍洗寰瀛	phr. wash the world once
一道	n. dish
一道残阳铺水中	phr. sunset on water
一道菜	n. a dish
一郎	n. Ichiro
一部	n. part
一部分	n. part
一部电影	phr. a movie
一部露出说	n. partial exposure theory
一配	n. Yipei
一里坡	n. Yili Slope
一针	phr. one stitch
一针一线	phr. needle and thread
一针见血	phr. to the point
一钩残月向西流	phr. crescent moon flows west
一钱不值	phr. not worth a penny
一锅	phr. a pot
一锅煮	v. cook in one pot
一锅端	phr. wipe out
一锅粥	phr. a mess
一锤子买卖	phr. one-shot deal
一锤定音	phr. final say
一键	m. one key	m. single button
一键分享	phr. one-click share
一键备份	v. one-click backup
一键安装	v. one-click install
一键恢复	n. one-key recovery
一键锁屏	phr. one-key lock screen
一长一短	phr. one long one short
一门	m. a course
一门心思	phr. wholeheartedly
一闪一闪	adj. twinkling
一闪念	n. flash of thought
一闪而过	phr. flash by
一问	v. ask a question
一问三不知	phr. know nothing
一闲对百忙	phr. leisure vs busy
一队	n. a team
一阵	m. a burst of
一阵子	n. a while	n. a period
一阵风	n. a gust of wind
一阵黄昏雨	phr. evening rain
一阶段	n. first stage
一阶矩	n. first moment
一阶逻辑	n. first-order logic
一陂春水绕花身	phr. spring water surrounds flowers
一隅之地	phr. a corner of land
一零四团	n. 104th Regiment
一雷惊蛰始	phr. thunder awakens
一霎	n. instant
一面	n. one side
一面之交	phr. acquaintance
一面之缘	phr. one-time acquaintance
一面之词	phr. one-sided story
一页	n. one page
一项	m. item
一顺儿	adv. in the same direction
一顿饭	n. a meal
一颗心	phr. a heart
一颗绕	phr. a circle around
一题	n. one question
一颦一笑	phr. every frown and smile
一飞冲天	phr. soar to success
一餐	n. a meal
一饱眼福	phr. feast one's eyes
一首歌	phr. a song
一首诗	phr. a poem
一马平川	phr. flat plain
一马当先	phr. take the lead
一马路	n. First Road
一骨碌	adv. in a roll
一鳞半爪	phr. fragments
一鸣惊人	phr. amaze the world
一鼓作气	phr. at one go
一鼻子灰	phr. get a rebuff
一鼻孔出气	phr. breathe through one nostril
一齐	adv. simultaneously
丁	n. Ding
丁丁当当	phr. ding-dong
丁丑科	n. Dingchou class
丁丙	n. Ding Bing
丁丙诺啡	n. buprenorphine
丁义	n. Dingyi
丁二酮	n. diacetyl
丁于	n. Ding Yu
丁仁山	n. Ding Renshan
丁仪	n. person
丁伟	n. Ding Wei
丁佛言	n. person
丁俊晖	n. Ding Junhui
丁元公	n. Ding Yuangong
丁克	n. DINK
丁公藤	n. Dinggong vine
丁军	n. Ding Jun
丁凌华	n. Ding Linghua
丁加齿鱵	n. fish
丁卡因	n. tetracaine
丁卯	n. Dingmao
丁卯街道	n. Dingmao Street
丁原	n. Ding Yuan
丁司垱镇	n. Dingsidang Town
丁各庄	n. Dinggezhuang
丁咯地尔	n. buflomedil
丁型病毒性肝炎	n. hepatitis D
丁基橡胶	n. butyl rubber
丁基羟基茴香醚	n. butylated hydroxyanisole
丁堡	n. Edinburgh
丁堰	n. Dingyan
丁塘镇	n. Dingtang Town
丁墙	n. Ding Qiang
丁夫人	n. Lady Ding
丁奉	n. Ding Feng
丁子峻	n. Ding Zijun
丁子江	n. Ding Zijiang
丁子路口	n. intersection
丁字口	n. T-junction
丁字古	n. Ding Zigu
丁字形	n. T-shape
丁字桥	n. T-shaped bridge
丁字沽	n. place
丁字沽一号路	n. Dingzigu No.1 Road
丁字沽三号路	n. Dingzigu 3rd Road
丁字沽二号路	n. Dingzigu No.2 Road
丁字胡同	n. Dingzi Hutong
丁字街	n. T-junction
丁字路口	n. T-junction
丁宁	n. Ding Ning
丁宝桢	n. Ding Baozhen
丁宝臣	n. Ding Baochen
丁家坝	n. Dingjiaba
丁家堡	n. Dingjiabao
丁家堡村	n. Dingjiabao Village
丁家山	n. Dingjiashan
丁家山景区	n. Dingjiashan Scenic Area
丁家庄	n. Dingjiazhuang
丁家村	n. Dingjia Village
丁家桥	n. Dingjiaqiao
丁家桥村	n. Dingjiaqiao Village
丁家沟乡	n. Dingjiagou
丁家滩	n. Dingjiatan
丁尼生	n. Tennyson
丁山	n. Dingshan
丁山乡	n. Dingshan Township
丁庄	n. Dingzhuang
丁店	n. Dingdian
丁建华	n. Ding Jianhua
丁当	n. ding-dong
丁德隆	n. Ding Delong
丁志成	n. Ding Zhicheng
丁忧	v. mourn for parent
丁惟汾	n. Ding Weifen
丁所	n. Dingsuo
丁敬	n. Ding Jing
丁文	n. Ding Wen
丁文江	n. Ding Wenjiang
丁文琪	n. Ding Wenqi
丁文祥	n. Ding Wenxiang
丁斐	n. Ding Fei
丁日昌	n. Ding Richang
丁是丁卯是卯	phr. be exact
丁是娥	n. Ding Shi'e
丁晏	n. Ding Yan
丁晓兵	n. Ding Xiaobing
丁晓峰	n. Ding Xiaofeng
丁未	n. Dingwei
丁未科	n. Dingwei class
丁村动物群	n. Dingcun fauna
