# 由 qingjian-gloss-gen english 生成（LLM）：英文词的中文释义。词（小写）	[词性. ]释义	[词性. ]释义
a	一
allocations	n. 分配
allocs	n. 分配数
allot	v. 分配
allotment	n. 分配
allotments	n. 分配
allotted	adj. 分配的
allow	v. 允许
allowable	adj. 允许的
allowance	n. 津贴
allowances	n. 津贴	n. 零用钱
allowed	v. 允许
allowing	v. 允许
allowlist	n. 白名单
allowlisted	adj. 已列入白名单
allowlisting	n. 白名单化
allowlists	n. 白名单
allows	v. 允许
alloy	n. 合金
alloys	n. 合金
allstate	n. 好事达
allude	v. 暗指
alluded	v. 暗示
alludes	v. 暗指
alluding	v. 暗指
allure	n. 诱惑
alluring	adj. 诱人的
allusion	n. 暗示
allusions	n. 暗示
alluvial	adj. 冲积的
ally	n. 盟友
allyson	n. 艾莉森
alma	n. 阿尔玛
almanac	n. 年鉴
almaty	n. 阿拉木图
almighty	adj. 全能的
almond	n. 杏仁
almonds	n. 杏仁
almost	adv. 几乎
alms	n. 施舍
aloe	n. 芦荟
aloft	adv. 在高处
aloha	int. 阿罗哈
alone	adj. 独自
along	prep. 沿着
alongside	prep. 在...旁边
alonzo	n. 阿朗佐
aloof	adj. 冷漠的
alopecia	n. 脱发
aloud	adv. 大声地
alp	n. 高山
alpaca	n. 羊驼
alpha	n. 阿尔法
alphabet	n. 字母表
alphabetical	adj. 字母的
alphabetically	adv. 按字母顺序
alphabets	n. 字母表
alphas	n. 阿尔法
alphonse	n. 阿方斯
alpine	adj. 高山的
alps	n. 阿尔卑斯山
already	adv. 已经
alright	adj. 好的
alsace	n. 阿尔萨斯
also	adv. 也
alston	n. 阿尔斯通
alt	n. Alt键
alta	n. 阿尔塔
altar	n. 祭坛
altars	n. 祭坛
alter	v. 改变	v. 修改
alteration	n. 改变
alterations	n. 改动
altercation	n. 争吵
altered	v. 改变
altering	v. 改变
alternate	v. 交替
alternated	v. 交替
alternately	adv. 交替地
alternates	v. 交替
alternating	adj. 交替的
alternation	n. 交替
alternative	n. 替代
alternatively	adv. 或者
alternatives	n. 替代品
alternator	n. 交流发电机
alters	v. 改变
althea	n. 阿尔忒亚
although	conj. 虽然	conj. 尽管
altitude	n. 高度	n. 海拔
altitudes	n. 海拔
altman	n. 奥特曼
alto	n. 男高音
altogether	adv. 完全
alton	n. 奥尔顿
altoona	n. 阿尔图纳
altos	n. 女低音
altruism	n. 利他主义
altruistic	adj. 利他的
alum	n. 明矾
alumina	n. 氧化铝
aluminium	n. 铝
aluminum	n. 铝
alumni	n. 校友
alumnus	n. 校友
alva	n. 阿尔瓦
alvarado	n. 阿尔瓦拉多
alvarez	n. 阿尔瓦雷斯
alvaro	n. 阿尔瓦罗
alveolar	adj. 牙槽的
alvin	n. 阿尔文
always	adv. 总是
alyssa	n. 艾丽莎
alzheimer	n. 阿尔茨海默病
am	v. 是
ama	n. 美国医学会
amadeus	n. 阿玛迪斯
amalgam	n. 混合物
amalgamated	adj. 合并的
amalgamation	n. 合并
amalia	n. 阿玛利亚
amanda	n. 阿曼达
amarillo	n. 阿马里洛
amass	v. 积累
amassed	v. 积累
amassing	v. 积累
amateur	n. 业余爱好者
amateurish	adj. 业余的
amateurs	n. 业余爱好者
amaze	v. 使惊奇
amazed	adj. 惊讶的
amazement	n. 惊奇
amazes	v. 使惊讶
amazing	adj. 惊人
amazingly	adv. 惊人地
amazon	n. 亚马逊
amazonian	adj. 亚马逊的
amazons	n. 亚马逊
ambassador	n. 大使
ambassadors	n. 大使
amber	n. 琥珀
ambiance	n. 氛围
ambience	n. 氛围
ambient	adj. 周围的
ambiguities	n. 歧义
ambiguity	n. 歧义
ambiguous	adj. 模糊的
ambition	n. 雄心
ambitions	n. 野心
ambitious	adj. 雄心勃勃
ambivalence	n. 矛盾心理
ambivalent	adj. 矛盾的
ambrosia	n. 神食
ambulance	n. 救护车
ambulances	n. 救护车
ambulatory	adj. 行走的
ambush	n. 伏击
ambushed	v. 伏击
ambushes	n. 埋伏
amd	n. AMD
amelia	n. 阿梅利亚
ameliorate	v. 改善	v. 改良
amen	int. 阿们
amenable	adj. 顺从的
amend	v. 修改
amended	v. 修正
amending	v. 修正
amendment	n. 修正案	n. 修改
amendments	n. 修正案
amends	v. 修改	v. 改正
amenities	n. 便利设施
amenity	n. 便利设施
amer	n. 美国
america	n. 美国
american	adj. 美国的
americana	n. 美国文化
americanism	n. 美国主义
americans	n. 美国人
americas	n. 美洲
ames	n. 艾姆斯
amethyst	n. 紫水晶
amherst	n. 阿默斯特
amiable	adj. 和蔼可亲的
amicable	adj. 友好的
amicably	adv. 友好地
amid	prep. 在...中
amidst	prep. 在…中
amie	n. 艾米
amiga	n. Amiga
amigo	n. 朋友
amigos	n. 朋友
amine	n. 胺
amines	n. 胺
amino	adj. 氨基的
amish	n. 阿米什
amiss	adj. 不对劲的
amity	n. 友好
amman	n. 安曼
ammo	n. 弹药
ammonia	n. 氨
ammonium	n. 铵
ammunition	n. 弹药
amnesia	n. 失忆症
amnesty	n. 特赦
amniotic	adj. 羊膜的
amoeba	n. 变形虫
amok	adv. 疯狂
among	prep. 在…之中
amongst	prep. 在...之中
amoral	adj. 非道德的
amorous	adj. 多情的
amorphous	adj. 无定形的
amortization	n. 摊销
amos	n. 阿莫斯
amount	n. 数量	n. 金额
amounted	v. 总计
amounting	v. 总计
amounts	n. 数量
amour	n. 爱情
amp	n. 安培
amphetamine	n. 苯丙胺
amphetamines	n. 苯丙胺
amphibian	n. 两栖动物
amphibians	n. 两栖动物
amphibious	adj. 两栖的
amphitheater	n. 圆形剧场
amphitheatre	n. 圆形剧场
ample	adj. 充足的
amplification	n. 放大
amplified	v. 放大
amplifier	n. 放大器
amplifiers	n. 放大器
amplifies	v. 放大
amplify	v. 放大	v. 增强
amplifying	v. 放大	v. 增强
amplitude	n. 振幅
amply	adv. 充足地
amps	n. 安培
amputated	v. 截肢
amputation	n. 截肢
amputations	n. 截肢
amputee	n. 截肢者
amputees	n. 截肢者
amritsar	n. 阿姆利则
amsterdam	n. 阿姆斯特丹
amtrak	n. 美铁
amulet	n. 护身符
amulets	n. 护身符
amuse	v. 逗乐
amused	adj. 开心的
amusement	n. 娱乐
amusements	n. 娱乐
amuses	v. 逗乐
amusing	adj. 有趣的
amy	n. 艾米
amygdala	n. 杏仁核
amyloid	n. 淀粉样蛋白
an	一
ana	n. 安娜
anabolic	adj. 合成代谢的
anachronism	n. 时代错误
anachronistic	adj. 过时的
anaconda	n. 水蟒
anaemia	n. 贫血
anaerobic	adj. 厌氧的
anaesthesia	n. 麻醉
anaesthetic	n. 麻醉剂
anagram	n. 变位词
anaheim	n. 阿纳海姆
anal	adj. 肛门的
analgesic	n. 镇痛剂
analog	adj. 模拟
analogies	n. 类比
analogous	adj. 类似的
analogs	n. 类似物
analogue	n. 模拟
analogues	n. 类似物
analogy	n. 类比
analyse	v. 分析
analysed	v. 分析
analyses	n. 分析
analysing	v. 分析
analysis	n. 分析
analyst	n. 分析师
analysts	n. 分析师
analytic	adj. 分析的
analytical	adj. 分析的
analytics	n. 分析
analyze	v. 分析
analyzed	v. 分析
analyzer	n. 分析器
analyzers	n. 分析仪
analyzes	v. 分析
analyzing	v. 分析
anarchic	adj. 无政府的
anarchism	n. 无政府主义
anarchist	n. 无政府主义者
anarchists	n. 无政府主义者
anarchy	n. 无政府状态
anastasia	n. 阿纳斯塔西娅
anathema	n. 诅咒
anatolia	n. 安纳托利亚
anatomic	adj. 解剖的
anatomical	adj. 解剖的
anatomically	adv. 解剖学上
anatomy	n. 解剖学
ancestor	n. 祖先
ancestors	n. 祖先
ancestral	adj. 祖先的
ancestry	n. 祖先
anchor	n. 锚
anchorage	n. 锚地
anchored	v. 锚定
anchoring	n. 锚定
anchorman	n. 主播
anchors	n. 锚
anchovies	n. 鳀鱼
anchovy	n. 鳀鱼
ancient	adj. 古代的
ancients	n. 古人
ancillary	adj. 辅助的
and	conj. 和	conj. 与
andalusia	n. 安达卢西亚
andaman	n. 安达曼
andean	adj. 安第斯
andersen	n. 安徒生
anderson	n. 安德森
andes	n. 安第斯山脉
andorra	n. 安道尔
andre	n. 安德烈
andrea	n. 安德烈娅
andrei	n. 安德烈
andres	n. 安德烈斯
andrew	n. 安德鲁
andrews	n. 安德鲁斯
androgen	n. 雄激素
androgynous	adj. 雌雄同体的
android	n. 安卓
androids	n. 机器人
andromeda	n. 仙女座
andy	n. 安迪
anecdotal	adj. 轶事的
anecdote	n. 轶事
anecdotes	n. 轶事
anemia	n. 贫血
anemic	adj. 贫血的
anemone	n. 海葵	n. 银莲花
anesthesia	n. 麻醉
anesthesiologist	n. 麻醉师
anesthesiology	n. 麻醉学
anesthetic	n. 麻醉剂
aneurysm	n. 动脉瘤
anew	adv. 重新
angel	n. 天使
angela	n. 安吉拉
angeles	n. 安吉利斯
angelic	adj. 天使般的
angelica	n. 安吉莉卡
angelina	n. 安吉丽娜
angelique	n. 安吉丽克
angelo	n. 安杰洛
angelou	n. 安吉洛
angels	n. 天使
anger	n. 愤怒
angered	v. 激怒
angering	v. 激怒
angers	v. 激怒
angie	n. 安吉
angina	n. 心绞痛
angkor	n. 吴哥
angle	n. 角度	n. 角
angled	adj. 有角度的
angler	n. 垂钓者
anglers	n. 垂钓者
angles	n. 角度
anglia	n. 英格兰
anglican	n. 圣公会
anglicans	n. 圣公会教徒
angling	n. 垂钓
anglo	n. 盎格鲁
anglophone	n. 英语使用者
angola	n. 安哥拉
angolan	adj. 安哥拉的
angora	n. 安哥拉
angrier	adj. 更生气的
angrily	adv. 愤怒地
angry	adj. 生气的
angst	n. 焦虑
anguilla	n. 安圭拉
anguish	n. 痛苦
anguished	adj. 痛苦的
angular	adj. 有角的
angus	n. 安格斯
animal	n. 动物
animals	n. 动物
animate	v. 使生动
animated	adj. 动画
animating	v. 动画
animation	n. 动画
animations	n. 动画
animator	n. 动画师
animators	n. 动画师
anime	n. 动漫
animosity	n. 敌意
animus	n. 敌意
anion	n. 阴离子
anise	n. 茴芹
anita	n. 安妮塔
anka	n. 安卡
ankara	n. 安卡拉
ankle	n. 脚踝
ankles	n. 脚踝
ann	n. 安
anna	n. 安娜
annabel	n. 安娜贝尔
annabelle	n. 安娜贝尔
annals	n. 编年史
annapolis	n. 安纳波利斯
annapurna	n. 安纳普尔纳
anne	n. 安妮
annealing	n. 退火
annette	n. 安妮特
annex	v. 吞并
annexation	n. 吞并
annexe	n. 附件
annexed	v. 吞并
annexing	v. 吞并
annie	n. 安妮
annihilate	v. 歼灭
annihilated	v. 歼灭
annihilation	n. 歼灭
anniversaries	n. 周年纪念
anniversary	n. 周年纪念
annotated	adj. 注释的
annotation	n. 注释
annotations	n. 注释
announce	v. 宣布
announced	v. 宣布
announcement	n. 公告	n. 宣布
announcements	n. 公告
announcer	n. 播音员
announcers	n. 播音员
announces	v. 宣布
announcing	v. 宣布	v. 宣告
annoy	v. 惹恼
annoyance	n. 烦恼
annoyed	adj. 恼怒
annoying	adj. 烦人的
annoyingly	adv. 恼人地
annoys	v. 使恼怒	v. 打扰
annual	adj. 每年的	adj. 年度的
annualized	adj. 年化的
annually	adv. 每年
annuals	n. 一年生植物
annuities	n. 年金
annuity	n. 年金
annular	adj. 环形的
annulled	v. 废除
annulment	n. 废除
annunciation	n. 天使报喜
anode	n. 阳极
anointed	v. 涂油
anointing	v. 涂油
anomalies	n. 异常
anomalous	adj. 异常的
anomaly	n. 异常
anon	adv. 不久
anonymise	v. 匿名化
anonymiser	n. 匿名化工具
anonymisers	n. 匿名化工具
anonymises	v. 匿名化
anonymising	v. 匿名化
anonymity	n. 匿名
anonymize	v. 匿名化
anonymized	adj. 匿名的
anonymizer	n. 匿名化工具
anonymizers	n. 匿名器
anonymizes	v. 匿名化
anonymizing	v. 匿名化
anonymous	adj. 匿名的
anonymously	adv. 匿名地
anorexia	n. 厌食症
anorexic	adj. 厌食的
another	pron. 另一个
ans	n. 答案
anselm	n. 安瑟伦
ansible	n. Ansible
answer	n. 答案
answerable	adj. 应负责的
answered	v. 回答
answering	v. 回答
answers	n. 答案
ant	n. 蚂蚁
antagonism	n. 对抗
antagonist	n. 对手	n. 敌手
antagonistic	adj. 敌对的
antagonists	n. 对手
antagonize	v. 对抗
antarctic	n. 南极
antarctica	n. 南极洲
ante	n. 赌注
antebellum	adj. 战前的
antecedent	n. 前因
antecedents	n. 前身	n. 先例
antelope	n. 羚羊
antenna	n. 天线
antennae	n. 触角
antennas	n. 天线
antergos	n. Antergos
anterior	adj. 前面的
anthem	n. 国歌
anthems	n. 国歌
anthologies	n. 选集
anthology	n. 选集
anthony	n. 安东尼
anthracite	n. 无烟煤
anthrax	n. 炭疽
anthropogenic	adj. 人为的
anthropological	adj. 人类学的
anthropologist	n. 人类学家
anthropologists	n. 人类学家
anthropology	n. 人类学
anthropomorphic	adj. 拟人的
anti	adj. 反
antialias	v. 抗锯齿
antialiased	adj. 抗锯齿的
antialiasing	n. 抗锯齿
antibacterial	adj. 抗菌的
antibiotic	n. 抗生素
antibiotics	n. 抗生素
antibodies	n. 抗体
antibody	n. 抗体
antichrist	n. 敌基督
anticipate	v. 预期
anticipated	v. 预期
anticipates	v. 预期
anticipating	v. 预期
anticipation	n. 预期
antics	n. 滑稽动作
antidepressant	n. 抗抑郁药
antidepressants	n. 抗抑郁药
antidote	n. 解毒剂
antifa	n. 反法西斯
antifreeze	n. 防冻液
antifungal	adj. 抗真菌
antigen	n. 抗原
antigens	n. 抗原
antigone	n. 安提戈涅
antigua	n. 安提瓜
antilles	n. 安的列斯群岛
antimalware	n. 反恶意软件
antimatter	n. 反物质
antimicrobial	adj. 抗菌的
antimony	n. 锑
antioch	n. 安提阿
antioxidant	n. 抗氧化剂
antioxidants	n. 抗氧化剂
antipathy	n. 反感
antiquarian	adj. 古物的
antiquated	adj. 过时的
antique	n. 古董
antiques	n. 古董
antiquities	n. 古物
antiquity	n. 古代
antisamy	n. AntiSamy
antisemitic	adj. 反犹太的
antisemitism	n. 反犹主义
antiseptic	n. 防腐剂
antisocial	adj. 反社会的
antithesis	n. 对立面
antithetical	adj. 对立的
antitrust	adj. 反垄断
antiviral	adj. 抗病毒的
antivirus	n. 杀毒软件
antiwar	adj. 反战的
antler	n. 鹿角
antlers	n. 鹿角
antoine	n. 安托万
antoinette	n. 安托瓦内特
anton	n. 安东
antonia	n. 安东尼娅
antonio	n. 安东尼奥
antony	n. 安东尼
ants	n. 蚂蚁
antsy	adj. 坐立不安的
antwerp	n. 安特卫普
anubis	n. 阿努比斯
anus	n. 肛门
anvil	n. 铁砧
anxieties	n. 焦虑
anxiety	n. 焦虑
anxious	adj. 焦虑的
anxiously	adv. 焦虑地
any	pron. 任何
anybody	pron. 任何人
anycast	n. 任播
anyhow	adv. 无论如何
anymore	adv. 不再
anyone	pron. 任何人
anyplace	adv. 任何地方
anything	pron. 任何事物
anytime	adv. 任何时候
anyway	adv. 无论如何
anywhere	adv. 任何地方
anzac	n. 澳新军团
aol	n. 美国在线
aorta	n. 主动脉
aortic	adj. 主动脉的
ap	n. 美联社
apache	n. 阿帕奇
apart	adv. 分开
apartheid	n. 种族隔离
apartment	n. 公寓
apartments	n. 公寓
apathetic	adj. 冷漠的
apathy	n. 冷漠
apc	n. 先进过程控制
ape	n. 猿
aperture	n. 光圈
apertures	n. 孔径
apes	n. 猿
apex	n. 顶点
aphasia	n. 失语症
aphids	n. 蚜虫
aphrodisiac	n. 春药
aphrodite	n. 阿佛洛狄忒
api	n. 应用程序接口
apical	adj. 顶端的
apiece	adv. 每个
apigee	n. Apigee
apis	n. 蜜蜂属
apisix	n. APISIX
apnea	n. 呼吸暂停
apo	n. 陆军邮局
apocalypse	n. 天启
apocalyptic	adj. 世界末日的
apocryphal	adj. 杜撰的
apogee	n. 远地点
apolitical	adj. 非政治的
apollo	n. 阿波罗
apologetic	adj. 道歉的
apologies	n. 道歉
apologise	v. 道歉
apologised	v. 道歉
apologises	v. 道歉
apologising	v. 道歉
apologist	n. 辩护者
apologists	n. 辩护者
apologize	v. 道歉
apologized	v. 道歉
apologizes	v. 道歉
apologizing	v. 道歉
apology	n. 道歉
apoptosis	n. 细胞凋亡
apostasy	n. 叛教
apostate	n. 叛教者
apostates	n. 叛教者
apostle	n. 使徒
apostles	n. 使徒
apostolic	adj. 使徒的
apostrophe	n. 撇号
apothecary	n. 药剂师
app	n. 应用	n. 应用程序
appalachia	n. 阿巴拉契亚
appalachian	adj. 阿巴拉契亚的
appalled	adj. 震惊的
appalling	adj. 骇人的
apparatus	n. 装置
apparel	n. 服装
apparent	adj. 明显的
apparently	adv. 显然
apparition	n. 幽灵
apparitions	n. 幻影
apparmor	n. AppArmor
appcenter	n. 应用中心
appdata	n. 应用数据
appeal	n. 呼吁	n. 上诉
appealed	v. 呼吁	v. 上诉
appealing	adj. 吸引人
appeals	v. 上诉
appear	v. 出现
appearance	n. 外观	n. 出现
appearances	n. 外观
appeared	v. 出现
appearing	v. 出现
appears	v. 出现
appease	v. 安抚
appeasement	n. 绥靖
appeasing	v. 安抚
appellant	n. 上诉人
appellate	adj. 上诉的
appellation	n. 名称
append	v. 附加
appendage	n. 附属物
appendages	n. 附属物
appended	v. 附加
appender	n. 追加器
appenders	n. 追加器
appendices	n. 附录
appendicitis	n. 阑尾炎
appendix	n. 附录
appetite	n. 食欲	n. 胃口
appetites	n. 食欲
appetizer	n. 开胃菜
appetizers	n. 开胃菜
appetizing	adj. 开胃的
appid	n. 应用ID
applaud	v. 鼓掌
applauded	v. 鼓掌
applauding	v. 鼓掌
applauds	v. 鼓掌
applause	n. 掌声
apple	n. 苹果
apples	n. 苹果
applesauce	n. 苹果酱
appleton	n. 阿普尔顿
appliance	n. 电器
appliances	n. 电器
applicability	n. 适用性
applicable	adj. 适用
applicant	n. 申请人
applicants	n. 申请人
application	n. 应用	n. 申请
applications	n. 应用
applicator	n. 涂抹器
applied	v. 应用
applies	v. 应用	v. 适用
apply	v. 申请	v. 应用
applying	v. 应用
appoint	v. 任命
appointed	v. 任命
appointee	n. 被任命者
appointees	n. 被任命者
appointing	v. 任命
appointment	n. 任命	n. 约会
appointments	n. 预约
appoints	v. 任命
appraisal	n. 评估
appraisals	n. 评估
appraise	v. 评估
appraised	v. 评估
appraiser	n. 评估师
appraisers	n. 评估师
appreciable	adj. 可观的
appreciate	v. 感激
appreciated	v. 感激
appreciates	v. 欣赏	v. 感激
appreciating	v. 欣赏
appreciation	n. 欣赏	n. 感激
appreciative	adj. 感激的
apprehend	v. 逮捕	v. 理解
apprehended	v. 逮捕
apprehension	n. 忧虑	n. 逮捕
apprehensive	adj. 忧虑的
apprentice	n. 学徒
apprenticed	v. 学徒
apprentices	n. 学徒
apprenticeship	n. 学徒期
apprenticeships	n. 学徒
apprised	v. 通知
approach	v. 接近	v. 方法
approachable	adj. 平易近人的
approached	v. 接近
approaches	n. 方法	n. 途径
approaching	v. 接近
appropriate	adj. 适当的
appropriated	v. 拨款
appropriately	adv. 适当地
appropriateness	n. 适当
appropriating	v. 挪用
appropriation	n. 拨款
appropriations	n. 拨款
approval	n. 批准
approvals	n. 批准
approve	v. 批准
approved	v. 批准
approves	v. 批准
approving	adj. 赞成的
approximant	n. 近似音
approximate	adj. 大约的
approximated	v. 近似
approximately	adv. 大约
approximation	n. 近似	n. 接近
approximations	n. 近似
apps	n. 应用
appveyor	n. Appveyor
apr	n. 四月
apricot	n. 杏
apricots	n. 杏
april	n. 四月
apron	n. 围裙
aprons	n. 围裙
apropos	prep. 关于
apt	adj. 恰当的
aptitude	n. 才能
aptly	adv. 恰当地
aqua	n. 水
aquaculture	n. 水产养殖
aquamarine	n. 海蓝宝石
aquarium	n. 水族馆
aquariums	n. 水族馆
aquarius	n. 水瓶座
aquasecurity	n. Aqua安全
aquatic	adj. 水生的
aquatics	n. 水上运动
aqueduct	n. 渡槽
aqueous	adj. 水性的
aquifer	n. 含水层
aquifers	n. 含水层
aquila	n. 天鹰座
aquinas	n. 阿奎那
aquino	n. 阿基诺
ar	n. 增强现实
ara	n. 天坛座
arab	n. 阿拉伯人
arabia	n. 阿拉伯
arabian	adj. 阿拉伯的
arabic	n. 阿拉伯语
arable	adj. 可耕的
arabs	n. 阿拉伯人
arafat	n. 阿拉法特
aragon	n. 阿拉贡
aramaic	n. 阿拉姆语
arbiter	n. 仲裁者
arbitrage	n. 套利
arbitraries	n. 任意值
arbitrarily	adv. 任意地
arbitrary	adj. 任意的
arbitration	n. 仲裁
arbitrator	n. 仲裁人
arbitrators	n. 仲裁员
arbor	n. 乔木
arborescence	n. 树状结构
arboretum	n. 植物园
arc	n. 弧
arcade	n. 拱廊
arcades	n. 拱廊
arcadia	n. 阿卡迪亚
arcana	n. 奥秘
arcane	adj. 神秘的
arccosine	n. 反余弦
arch	n. 拱门
archaeological	adj. 考古的
archaeologist	n. 考古学家
archaeologists	n. 考古学家
archaeology	n. 考古学
archaic	adj. 古体的	adj. 过时的
archangel	n. 大天使
archbishop	n. 大主教
archbishops	n. 大主教
archdeacon	n. 副主教
archdiocese	n. 大主教区
archduke	n. 大公
arched	adj. 拱形的
archer	n. 弓箭手
archers	n. 弓箭手
archery	n. 射箭
arches	n. 拱门
archetypal	adj. 典型的
archetype	n. 原型
archetypes	n. 原型
archibald	n. 阿奇博尔德
archie	n. 阿奇
archimedes	n. 阿基米德
arching	n. 拱起
archipelago	n. 群岛
architect	n. 建筑师
architected	v. 架构设计
architecting	v. 架构设计
architects	n. 建筑师
architectural	adj. 建筑的
architecturally	adv. 建筑上
architecture	n. 建筑
architectures	n. 架构
archival	adj. 档案的
archive	n. 档案
archived	v. 归档
archives	n. 档案
archiving	v. 归档
archivist	n. 档案保管员
archway	n. 拱门
archwiki	n. ArchWiki
arcs	n. 弧
arcsine	n. 反正弦
arctangent	n. 反正切
arctic	n. 北极
arden	n. 雅顿
ardent	adj. 热情的
arduino	n. Arduino
arduous	adj. 艰巨的
are	v. 是
area	n. 区域
areas	n. 区域
arena	n. 竞技场
arenas	n. 竞技场
ares	n. 阿瑞斯
arg	n. 参数
argc	n. 参数个数
argent	adj. 银的
argentina	n. 阿根廷
argentine	n. 阿根廷人
argentinean	adj. 阿根廷的
argentinian	adj. 阿根廷的
arginine	n. 精氨酸
argo	n. 阿尔戈
argocd	n. ArgoCD
argon	n. 氩
argonne	n. 阿贡
argoproj	n. Argo项目
argos	n. 阿戈斯
args	n. 参数
arguable	adj. 可争辩的
arguably	adv. 可以说
argue	v. 争论
argued	v. 争论
argues	v. 争论
arguing	v. 争论	v. 辩论
argument	n. 争论
argumentation	n. 论证
argumentative	adj. 好辩的
arguments	n. 争论	n. 论点
argus	n. 阿耳戈斯
argv	n. 参数向量
argyle	n. 菱形花纹
aria	n. 咏叹调
ariadne	n. 阿里阿德涅
ariakit	n. Ariakit
arial	n. Arial字体
arias	n. 咏叹调
arid	adj. 干旱的
ariel	n. 阿里尔
